delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,key_pressed,success
0.01,0.0,0.0004699230194091797,"[49.95, 50.0]","[49.95, 50.0]","[-5.0, 0.0]",False,LEFT,True
0.01,0.01,0.051924943923950195,"[49.85, 50.0]","[49.85, 50.0]","[-10.0, 0.0]",False,LEFT,True
0.01,0.02,0.10408902168273926,"[49.7, 50.0]","[49.7, 50.0]","[-15.0, 0.0]",False,LEFT,True
0.01,0.03,0.15515589714050293,"[49.7, 50.0]","[49.7, 50.0]","[-0.0, 0.0]",False,,True
0.01,0.04,0.21003079414367676,"[49.7, 49.95]","[49.7, 49.95]","[-0.0, -5.0]",False,UP,True
0.01,0.05,0.2614409923553467,"[49.7, 49.85]","[49.7, 49.85]","[-0.0, -10.0]",False,UP,True
0.01,0.060000000000000005,0.31536102294921875,"[49.650000000000006, 49.75]","[49.650000000000006, 49.75]","[-5.0, -10.0]",False,LEFT,True
0.01,0.07,0.3672759532928467,"[49.650000000000006, 49.75]","[49.650000000000006, 49.75]","[-0.0, -0.0]",False,,True
0.01,0.08,0.418759822845459,"[49.650000000000006, 49.75]","[49.650000000000006, 49.75]","[-0.0, -0.0]",False,,True
0.01,0.09,0.4703550338745117,"[49.650000000000006, 49.75]","[49.650000000000006, 49.75]","[-0.0, -0.0]",False,,True
0.01,0.09999999999999999,0.5240929126739502,"[49.650000000000006, 49.75]","[49.650000000000006, 49.75]","[-0.0, -0.0]",False,,True
0.01,0.10999999999999999,0.5758049488067627,"[49.650000000000006, 49.75]","[49.650000000000006, 49.75]","[-0.0, -0.0]",False,,True
0.01,0.11999999999999998,0.632490873336792,"[49.650000000000006, 49.8]","[49.650000000000006, 49.8]","[-0.0, 5.0]",False,DOWN,True
0.01,0.12999999999999998,0.6835918426513672,"[49.650000000000006, 49.9]","[49.650000000000006, 49.9]","[-0.0, 10.0]",False,DOWN,True
0.01,0.13999999999999999,0.7363760471343994,"[49.650000000000006, 50.05]","[49.650000000000006, 50.05]","[-0.0, 15.0]",False,DOWN,True
