delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,success
0.01,0.0,0.002045154571533203,"[50.534972187375566, 50.428544177559935]","[52.6748608896597, 52.14272124335617]","[53.497218737556445, 42.85441775599325]",False,True
0.01,0.01,0.05412483215332031,"[51.490148201923446, 51.19427895536641]","[55.31085220935453, 54.25721843671263]","[95.51760145478836, 76.57347778064744]",False,True
0.01,0.02,0.10613727569580078,"[52.782856598576615, 52.23512483783739]","[57.9536901276896, 56.398508764344726]","[129.27083966531703, 104.08458824709791]",False,True
0.01,0.03,0.15811467170715332,"[54.339441035231985, 53.493141166069364]","[60.56577871432791, 58.525206912650056]","[155.65844366553722, 125.80163282319715]",False,True
0.01,0.04,0.2100660800933838,"[56.10883945079762, 54.934138975359694]","[63.1864330320155, 60.698130692430055]","[176.9398415565631, 144.09978092903296]",False,True
0.01,0.05,0.26205945014953613,"[58.03730479256824, 56.51687773128502]","[65.75116606114281, 62.847833289899945]","[192.84653417706218, 158.27387559253268]",False,True
0.01,0.060000000000000005,0.3153648376464844,"[60.09555438308837, 58.225290169387264]","[68.32855262489676, 65.05894051952124]","[205.8249590520124, 170.84124381022423]",False,True
0.01,0.07,0.3682851791381836,"[62.24125695528849, 60.02907365849248]","[70.82406709711739, 67.2442082832061]","[214.5702572200124, 180.37834891052162]",False,True
0.01,0.08,0.4220905303955078,"[64.46079533847612, 61.92321344227337]","[73.33894871274627, 69.49977334183819]","[221.9538383187624, 189.4139783780896]",False,True
0.01,0.09,0.47509074211120605,"[66.71765833026022, 63.88538933437928]","[75.745110151868, 71.73409379829084]","[225.68629917840977, 196.21758921059092]",False,True
0.01,0.09999999999999999,0.5271103382110596,"[69.01013422313285, 65.91632314197103]","[78.18003766702186, 74.04005941572318]","[229.24758928726374, 203.09338075917574]",False,True
0.01,0.10999999999999999,0.578099250793457,"[71.303878273921, 68.00046761223732]","[80.47885437448686, 76.33704670418328]","[229.37440507881456, 208.41444702662753]",False,True
0.01,0.11999999999999998,0.6300747394561768,"[73.60675130338666, 70.1401768793673]","[82.81824335305947, 78.69901534785006]","[230.2873029465655, 213.97092671299814]",False,True
0.01,0.12999999999999998,0.6820573806762695,"[75.88427745471442, 72.3264582202724]","[84.99438203941645, 81.07158519847854]","[227.75261513277664, 218.6281340905102]",False,True
0.01,0.13999999999999999,0.7340571880340576,"[78.15236124256606, 74.56012584064061]","[87.22469643795704, 83.4947981807806]","[226.80837878516414, 223.36676203682023]",False,True
0.01,0.15,0.786137580871582,"[80.37509104243028, 76.83897218233136]","[89.26601037419653, 85.9543596870648]","[222.27297998642328, 227.88463416907487]",False,True
0.01,0.16,0.837989330291748,"[82.57527652215781, 79.15990364144209]","[91.37601869190618, 88.44363193751173]","[220.01854797275163, 232.09314591107187]",False,True
0.01,0.17,0.890084981918335,"[84.71502227844385, 81.52779321632885]","[93.27400571500483, 90.99935434826664]","[213.97457562860424, 236.7889574886765]",False,True
0.01,0.18000000000000002,0.9420671463012695,"[86.82303099274249, 83.9340252242629]","[95.25506647534529, 93.55895652466704]","[210.80087142986335, 240.62320079340464]",False,True
0.01,0.19000000000000003,0.9940755367279053,"[88.85946198277524, 86.39065386007387]","[97.00518685679879, 96.21717218586616]","[203.64309900327586, 245.66286358109787]",False,True
0.01,0.20000000000000004,1.0462086200714111,"[90.85787213889523, 88.88265619378016]","[98.85151406121412, 98.85066992380887]","[199.84101561199927, 249.20023337062906]",False,True
0.01,0.21000000000000005,1.098083257675171,"[92.77696096082741, 91.42901697225446]","[100.45331806410209, 101.61446521689884]","[191.90888219321803, 254.63607784742902]",False,True
0.01,0.22000000000000006,1.1500523090362549,"[94.65400368529087, 94.00811971103413]","[102.1621770909086, 104.3245366916302]","[187.70427244634672, 257.9102738779671]",False,True
0.01,0.23000000000000007,1.2021503448486328,"[96.44704576601211, 96.64520718026345]","[103.6192175353205, 107.19356418024628]","[179.30420807212292, 263.7087469229335]",False,True
0.01,0.24000000000000007,1.2541961669921875,"[98.19583757952878, 99.31252833938147]","[105.19100954836522, 109.981821463276]","[174.87918135166794, 266.73211591180245]",False,True
0.01,0.25000000000000006,1.3071906566619873,"[99.85877734685916, 102.04048910127416]","[106.51054287058047, 112.95234235059041]","[166.29397673303697, 272.79607618926855]",False,True
0.01,0.26000000000000006,1.3591420650482178,"[101.47677027543283, 104.79622479573403]","[107.94875083391062, 115.81917995745691]","[161.79929285736654, 275.573569445987]",False,True
0.01,0.2700000000000001,1.4121088981628418,"[103.00966521392648, 107.61384094267041]","[109.14125714848328, 118.88432073070675]","[153.28949384936618, 281.7616146936369]",False,True
0.01,0.2800000000000001,1.465219259262085,"[104.49817817280523, 110.4568305453137]","[110.45224687875366, 121.82880783816823]","[148.85129588787504, 284.29896026432914]",False,True
0.01,0.2900000000000001,1.5180575847625732,"[105.90470214001245, 113.36125823964065]","[111.53082159299984, 124.97899279819448]","[140.65239672072266, 290.4427694326952]",False,True
0.01,0.3000000000000001,1.570117473602295,"[107.26845774408771, 116.28876371975754]","[112.72351347458951, 127.99881602720657]","[136.37556040752645, 292.7505480116896]",False,True
0.01,0.3100000000000001,1.6211342811584473,"[108.55539603089191, 119.27546739663399]","[113.70319690424716, 131.22232159484398]","[128.6938286804197, 298.67036768764484]",False,True
0.01,0.3200000000000001,1.6735939979553223,"[109.80203171459544, 122.28311855251206]","[114.78864391902911, 134.31377540145562]","[124.66356837035255, 300.7651155878083]",False,True
0.01,0.3300000000000001,1.7272112369537354,"[110.97875657172713, 125.34594967219302]","[115.6857591866203, 137.59734467404286]","[117.67248571316948, 306.28311196809557]",False,True
0.01,0.34000000000000014,1.7801573276519775,"[112.118310088952, 128.42781197438256]","[116.67668099986963, 140.75535847398834]","[113.95535172248685, 308.1862302189548]",False,True
0.01,0.35000000000000014,1.8322043418884277,"[113.19624777496524, 131.55918521801715]","[117.50824389001401, 144.08481595409216]","[107.79376860132432, 313.13732436345924]",False,True
0.01,0.36000000000000015,1.8843693733215332,"[114.24063328304437, 134.70790865692572]","[118.418572147167, 147.3030028017997]","[104.43855080791364, 314.872343890859]",False,True
0.01,0.37000000000000016,1.9381422996520996,"[115.2327369534559, 137.89903035464158]","[119.20182079771496, 150.6638185350781]","[99.2103670411517, 319.11216977158665]",False,True
0.01,0.38000000000000017,1.9911015033721924,"[116.19521381541546, 141.10603643888896]","[120.04630642259055, 153.93453036890915]","[96.24768619595542, 320.7006084247368]",False,True
0.01,0.3900000000000002,2.043158531188965,"[117.11539922140474, 144.34713574589108]","[120.79837653603586, 157.31229773737007]","[92.01854059892922, 324.1099307002119]",False,True
0.01,0.4000000000000002,2.0953891277313232,"[118.00986772070898, 147.60278266229443]","[121.59229676441802, 160.62667689650402]","[89.4468499304236, 325.56469164033564]",False,True
0.01,0.4100000000000002,2.148425817489624,"[118.87184555025372, 150.88324932261636]","[122.33004428522787, 164.0074862376797]","[86.19778295447367, 328.0466660321942]",False,True
0.01,0.4200000000000002,2.2026119232177734,"[119.70996288999169, 154.17678607147803]","[123.08903183887877, 167.35551154624514]","[83.8117339737962, 329.3536748861661]",False,True
0.01,0.4300000000000002,2.2551136016845703,"[120.51705983361163, 157.4848021388183]","[123.82899923346658, 170.7262204368649]","[80.70969436199366, 330.8016067340268]",False,True
0.01,0.4400000000000002,2.308117389678955,"[121.26829238186635, 160.82122168718234]","[124.6227089099072, 174.18425810244506]","[75.12325482547203, 333.641954836403]",False,True
0.01,0.45000000000000023,2.361152410507202,"[121.71559760276554, 164.17467926291718]","[125.68727314380162, 177.5555902808556]","[44.73052208992027, 335.34575757348324]",False,True
0.01,0.46000000000000024,2.4141740798950195,"[121.51764670566034, 167.61514664156232]","[126.9408812476068, 180.86984293164022]","[-19.79508971052077, 344.04673786451406]",False,True
0.01,0.47000000000000025,2.4673409461975098,"[122.71690649176584, 170.94261222281398]","[128.45884449098205, 184.1115667218136]","[119.92597861054982, 332.7465581251658]",False,True
0.01,0.48000000000000026,2.5215582847595215,"[123.0797645816922, 174.45858595350592]","[130.25487805929788, 187.26359849195654]","[36.28580899263572, 351.5973730691944]",False,True
0.01,0.49000000000000027,2.57517671585083,"[124.69490731870931, 177.66792743613652]","[132.20312310833594, 190.19822882677326]","[161.51427370171058, 320.9341482630616]",False,True
0.01,0.5000000000000002,2.628333806991577,"[125.52933081765337, 181.17135745815736]","[134.42210168421474, 193.1265095242667]","[83.44234989440668, 350.3430022020848]",False,True
0.01,0.5100000000000002,2.681155204772949,"[127.61393017076958, 184.18982528473362]","[136.86381646616022, 195.85151053423314]","[208.4599353116206, 301.8467826576244]",False,True
0.01,0.5200000000000002,2.734459161758423,"[129.07714482703747, 187.52527715648142]","[139.46806733820117, 198.41201652661894]","[146.32146562678895, 333.5451871747806]",False,True
0.01,0.5300000000000002,2.7884628772735596,"[131.50443738221685, 190.31294682728765]","[142.29184848863457, 200.77718783147756]","[242.7292555179365, 278.76696708062343]",False,True
0.01,0.5400000000000003,2.84208083152771,"[133.45435239974174, 193.44263532455088]","[145.2219391176136, 203.01313154817316]","[194.99150175248735, 312.9688497263221]",False,True
0.01,0.5500000000000003,2.89504075050354,"[136.21943313038653, 195.94889706719002]","[148.21169897266526, 205.17145962451514]","[276.50807306447973, 250.62617426391512]",False,True
0.01,0.5600000000000003,2.9471676349639893,"[138.7335828349413, 198.71417532077388]","[151.1058039116105, 207.4670567796978]","[251.4149704554763, 276.5278253583849]",False,True
0.01,0.5700000000000003,3.000236988067627,"[141.64749401679816, 201.07534643496012]","[154.1443521397868, 209.54913499151215]","[291.3911181856866, 236.11711141862585]",False,True
0.01,0.5800000000000003,3.0532097816467285,"[144.57232605326655, 203.43702709035497]","[157.01224075639482, 211.89038073431092]","[292.4832036468377, 236.16806553948555]",False,True
0.01,0.5900000000000003,3.1064155101776123,"[147.60875564022282, 205.63744272182015]","[160.10127782842514, 213.89513623866506]","[303.6429586956287, 220.0415631465179]",False,True
0.01,0.6000000000000003,3.16048526763916,"[150.64517748198375, 207.82242279591557]","[162.94835074822268, 216.27079699546871]","[303.6421841760927, 218.49800740954134]",False,True
0.01,0.6100000000000003,3.2144291400909424,"[153.72305431995534, 209.9220367963837]","[166.09121305516007, 218.19513747343075]","[307.7876837971579, 209.96140004681283]",False,True
0.01,0.6200000000000003,3.268104314804077,"[156.7588362928912, 212.06767176268508]","[168.92263215493966, 220.59452416302528]","[303.57819729358704, 214.56349663013634]",False,True
0.01,0.6300000000000003,3.321401357650757,"[159.82934224042154, 214.14666561180374]","[172.11836099963904, 222.43910013249697]","[307.0505947530346, 207.89938491186612]",False,True
0.01,0.6400000000000003,3.3752989768981934,"[162.85108906204476, 216.2895132833048]","[174.94058321770447, 224.84989441508927]","[302.1746821623221, 214.2847671501077]",False,True
0.01,0.6500000000000004,3.429215431213379,"[165.91777862850253, 218.35637674835974]","[178.18538160605806, 226.6185975697352]","[306.6689566457767, 206.6863465054916]",False,True
0.01,0.6600000000000004,3.482372999191284,"[168.9350430224908, 220.49138549753118]","[181.0043567467855, 229.02869424416963]","[301.7264393988262, 213.50087491714393]",False,True
0.01,0.6700000000000004,3.536606550216675,"[172.0065283133543, 222.53881152320454]","[184.29249849023168, 230.72707122634577]","[307.1485290863499, 204.74260256733652]",False,True
0.01,0.6800000000000004,3.589488983154297,"[175.02783122127155, 224.6562865673728]","[187.11298740755902, 233.12537160611873]","[302.13029079172475, 211.74750441682673]",False,True
0.01,0.6900000000000004,3.6431055068969727,"[178.10964011276798, 226.67722489874023]","[190.43679031820054, 234.76051745839982]","[308.1808891496417, 202.0938331367431]",False,True
0.01,0.7000000000000004,3.6961910724639893,"[181.14012226146485, 228.76937612888702]","[193.26195800576428, 237.1377100011281]","[303.04821486968785, 209.21512301467877]",False,True
0.01,0.7100000000000004,3.749499797821045,"[184.2345253448077, 230.75913757564427]","[196.6120467901385, 238.71802609839236]","[309.44030833428576, 198.97614467572615]",False,True
0.01,0.7200000000000004,3.804081678390503,"[187.2762931483658, 232.82074352710077]","[199.443279873423, 241.0670734238798]","[304.1767803558101, 206.1605951456503]",False,True
0.01,0.7300000000000004,3.857135534286499,"[190.38284429090163, 234.77699960698948]","[202.80897223834492, 242.60196920668648]","[310.65511425358375, 195.62560798886915]",False,True
0.01,0.7400000000000004,3.9104270935058594,"[193.43544806954205, 236.8052910112927]","[205.64579542231928, 244.91842367764923]","[305.26037786404083, 202.82914043032096]",False,True
0.01,0.7500000000000004,3.964582681655884,"[196.55147885300792, 238.72784581488162]","[209.01554263915267, 246.41804571331545]","[311.60307834658687, 192.25548035889278]",False,True
0.01,0.7600000000000005,4.0182671546936035,"[199.6123165685811, 240.7223217696949]","[211.85561645455223, 248.70021362363192]","[306.0837715573169, 199.44759548132933]",False,True
0.01,0.7700000000000005,4.071115970611572,"[202.73335727660967, 242.61290079466247]","[215.2174765449837, 250.17520960468167]","[312.1040708028587, 189.0579024967577]",False,True
0.01,0.7800000000000005,4.124143838882446,"[205.79802897879165, 244.57515363209183]","[218.05667913602014, 252.42416010803373]","[306.46717021819944, 196.22528374293555]",False,True
0.01,0.7900000000000005,4.177215099334717,"[208.9181910602637, 246.43721632851242]","[221.39880862323187, 253.885463842964]","[312.01620814720593, 186.20626964205815]",False,True
0.01,0.8000000000000005,4.230139493942261,"[211.98083958171182, 248.3707496891522]","[224.23140820315567, 256.10488067313867]","[306.26485214481147, 193.3533360639785]",False,True
0.01,0.8100000000000005,4.284178018569946,"[215.09318771235561, 250.20929968787385]","[227.54255921907173, 257.5634978252194]","[311.2348130643785, 183.85499987216363]",False,True
0.01,0.8200000000000005,4.337209224700928,"[218.14685005836913, 252.1193159007041]","[230.36148236679495, 259.75937922571467]","[305.36623460135087, 191.00162128302313]",False,True
0.01,0.8300000000000005,4.390459299087524,"[221.24378068399554, 253.9406840380693]","[233.63148943336748, 261.2261553518396]","[309.69306256264224, 182.13681373652088]",False,True
0.01,0.8400000000000005,4.446145296096802,"[224.2807634513036, 255.83382301329638]","[236.42868372713684, 263.4063778751073]","[303.6982767308078, 189.3138975227087]",False,True
0.01,0.8500000000000005,4.499147176742554,"[227.35439633636094, 257.6454062461422]","[239.64891964717728, 264.8917383297915]","[307.3632885057314, 181.1583232845843]",False,True
0.01,0.8600000000000005,4.5521674156188965,"[230.36667777553836, 259.5294275885336]","[242.41579766380255, 267.06551226225974]","[301.2281439177423, 188.40213423913787]",False,True
0.01,0.8700000000000006,4.604117393493652,"[233.40925738178453, 261.3393773052198]","[245.57957210158125, 268.57917561883903]","[304.257960624617, 180.99497166861835]",False,True
0.01,0.8800000000000006,4.65718674659729,"[236.38890810835514, 263.22278832509375]","[248.3075094366751, 270.756431964965]","[297.96507265706236, 188.34110198739432]",False,True
0.01,0.8900000000000006,4.711160182952881,"[239.39320216349475, 265.0396531252021]","[251.41037892682326, 272.3071119716947]","[300.42940551396043, 181.6864800108364]",False,True
0.01,0.9000000000000006,4.765600204467773,"[242.3328061096269, 266.9312967117488]","[254.09122471752494, 274.497870746977]","[293.9603946132148, 189.16435865467142]",False,True
0.01,0.9100000000000006,4.820467710494995,"[245.29248004610247, 268.7636361114861]","[257.1311811328551, 276.0929934354157]","[295.9673936475573, 183.2339399737287]",False,True
