delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,success
0.01,0.0,0.0014579296112060547,"[53.309938122749024, 53.74757370801362]","[53.572218563355385, 54.04453251717899]","[330.9938122749026, 374.757370801362]",False,True
0.01,0.01,0.0518949031829834,"[56.61794198170688, 57.49685491778354]","[57.07251303729385, 58.01206432801513]","[330.8003858957856, 374.92812097699164]",False,True
0.01,0.02,0.10249495506286621,"[59.92490947807268, 61.24705026581445]","[60.60422174634748, 62.01740972992897]","[330.69674963657985, 375.0195348030916]",False,True
0.01,0.03,0.1530439853668213,"[63.22670609893286, 65.00179903082025]","[64.1247938000871, 66.02308958078069]","[330.17966208601797, 375.47487650058025]",False,True
0.01,0.04,0.20554399490356445,"[66.52619022541487, 68.75858006673121]","[67.64183583479756, 70.02885023850955]","[329.9484126482011, 375.67810359109546]",False,True
0.01,0.05,0.25699281692504883,"[69.81794529491667, 72.52213528076904]","[71.14102900091834, 74.03485371673843]","[329.17550695017985, 376.355521403782]",False,True
0.01,0.060000000000000005,0.30918097496032715,"[73.10612894129028, 76.28881121919956]","[74.63530488750146, 78.04051089952998]","[328.8183646373613, 376.6675938430521]",False,True
0.01,0.07,0.36058878898620605,"[76.38470910469358, 80.06384916026283]","[78.10647098383298, 82.04632818938032]","[327.8580163403299, 377.5037941063271]",False,True
0.01,0.08,0.4124469757080078,"[79.65873979857365, 83.84283346617943]","[81.57197212820269, 86.05114353509694]","[327.40306938800705, 377.89843059165923]",False,True
0.01,0.09,0.46547889709472656,"[82.9220425092386, 87.63108567648152]","[85.01097705563934, 90.05605559628606]","[326.3302710664939, 378.82522103020955]",False,True
0.01,0.09999999999999999,0.5174601078033447,"[86.18025836288062, 91.42371390253533]","[88.44429522226963, 94.05909795425396]","[325.82158536420246, 379.262822605381]",False,True
0.01,0.10999999999999999,0.5694689750671387,"[89.42744061286683, 95.22579318401297]","[91.84988580094269, 98.06219962844263]","[324.7182249986207, 380.207928147765]",False,True
0.01,0.11999999999999998,0.6222801208496094,"[92.66949636062964, 99.03224480877202]","[95.25043987091625, 102.06249394157027]","[324.2055747762807, 380.64516247590507]",False,True
