timestamp,particle_position,user_goal,velocity,collision,success
0.0015900135040283203,"[50.79698689014751, 50.44949712595834]","[53.98493482180053, 52.24748622853403]","[79.69868901475103, 44.949712595833894]",False,True
0.0541229248046875,"[52.222753176294034, 51.253959932285]","[57.92581871723734, 54.47181180200293]","[142.57662861465238, 80.44628063266616]",False,True
0.1063241958618164,"[54.15333852009037, 52.349916616081664]","[61.87568033952627, 56.733744083601366]","[193.05853437963364, 109.59566837966631]",False,True
0.15685796737670898,"[56.48705756698463, 53.679591804139356]","[65.8219342697033, 58.99829342211602]","[233.3719046894257, 132.9675188057692]",False,True
1.0988550186157227,"[59.145023317948336, 55.209835924292605]","[69.77688693271642, 61.33081345690043]","[265.7965750963704, 153.02441201532466]",False,True
1.1508698463439941,"[62.06017924031171, 56.90078745738677]","[73.72080366547858, 63.664594894054446]","[291.5155922363375, 169.09515330941622]",False,True
1.2169828414916992,"[65.18292695612443, 58.73927741060998]","[77.67391871396251, 66.09323886398673]","[312.27477158127255, 183.84899532232123]",False,True
1.2683990001678467,"[68.46831188231613, 60.695869267628154]","[81.60985268291799, 68.52223878425795]","[328.53849261916895, 195.65918570181756]",False,True
1.320600986480713,"[71.88579790886081, 62.770225721395086]","[85.55574336369844, 71.06765422155927]","[341.74860265446745, 207.43564537669312]",False,True
1.3723208904266357,"[75.40455800910684, 64.93874704307022]","[89.47960007786413, 73.61283581728667]","[351.8760100246026, 216.85213216751401]",False,True
1.4237990379333496,"[79.00647441758002, 67.2088677358864]","[93.41414212066823, 76.2893550798679]","[360.1916408473187, 227.01206928161847]",False,True
1.474761962890625,"[82.66981442626144, 69.56014877032888]","[97.32317703950957, 78.9652789723394]","[366.33400086814225, 235.1281034442484]",False,True
1.5261170864105225,"[86.38452744150824, 72.00413371368134]","[101.24338272588903, 81.780081622292]","[371.47130152467946, 244.39849433524563]",False,True
1.5780251026153564,"[90.1348422338905, 74.52212416693277]","[105.13610545090785, 84.59409705261326]","[375.03147923822553, 251.79904532514317]",False,True
1.6300451755523682,"[93.91589005765051, 77.12708275035793]","[109.04008644886311, 87.54693238789275]","[378.1047823760016, 260.4958583425157]",False,True
1.6820759773254395,"[97.71595280846606, 79.80144530270495]","[112.91621024863989, 90.49891707887879]","[380.00627508155435, 267.4362552347024]",False,True
1.7340259552001953,"[101.53339653891203, 82.55761440722961]","[116.80317958588564, 93.58232187098618]","[381.7443730445973, 275.6169104524665]",False,True
1.7867629528045654,"[105.35942948696722, 85.37906438330934]","[120.66357149260885, 96.66491019194595]","[382.6032948055187, 282.1449976079731]",False,True
1.8378348350524902,"[109.19431015541888, 88.27620354616228]","[124.5338454545293, 99.86483015409362]","[383.48806684516666, 289.71391628529403]",False,True
1.8887357711791992,"[113.03153412512262, 91.2337488934]","[128.38044498152001, 103.06404103282114]","[383.72239697037486, 295.7545347237728]",False,True
1.9397869110107422,"[116.87230704879275, 94.25911301070066]","[132.2354145652015, 106.36075278393025]","[384.0772923670123, 302.53641173006525]",False,True
1.9908599853515625,"[120.71206380258097, 97.33860937970059]","[136.071101436064, 109.65691592464091]","[383.9756753788227, 307.94963689999224]",False,True
2.041761875152588,"[124.5522845207312, 100.47599702195218]","[139.9131522111905, 113.02615021653416]","[384.02207181502285, 313.7387642251595]",False,True
2.092761993408203,"[128.39016093673285, 103.65955644446647]","[143.74155585711276, 116.3950325097559]","[383.7876416001639, 318.3559422514286]",False,True
2.143838882446289,"[132.2155360849767, 106.87926201768087]","[147.57392524916511, 119.80921668069145]","[382.53751482438366, 321.97055732143934]",False,True
2.195033073425293,"[136.02258488402984, 110.12061643359397]","[151.40109237252406, 123.22338431423779]","[380.70487990531535, 324.13544159130873]",False,True
2.2470428943634033,"[139.81514073959386, 113.37891646511584]","[155.22611502562157, 126.65316203978935]","[379.25558555640123, 325.8300031521876]",False,True
2.298964023590088,"[143.53628718163935, 116.71853742911101]","[158.8665680280359, 130.66031552124656]","[372.1146442045506, 333.9620963995176]",False,True
2.350792169570923,"[147.3571686078534, 119.94357450437826]","[161.9133879167935, 134.69438146486183]","[382.0881426214057, 322.50370752672563]",False,True
2.401926040649414,"[150.9243001342115, 116.43992319837218]","[164.23784096362283, 138.73164015474035]","[356.7131526358111, -350.3651306006071]",False,True
2.4537477493286133,"[153.45559700932506, 120.75182942571017]","[166.4137409186867, 142.85004719215635]","[253.12968751135494, 431.19062273379814]",False,True
2.5047810077667236,"[155.9761499824111, 125.070024868297]","[168.61414165513122, 146.82238795797147]","[252.05529730860272, 431.8195442586823]",False,True
2.5558550357818604,"[158.51170502446385, 129.37942851454892]","[170.79931050702797, 150.8721850160824]","[253.55550420527572, 430.94036462519244]",False,True
2.607070207595825,"[161.45875928565607, 133.41859554748166]","[173.0305761462808, 154.92151407701664]","[294.70542611922093, 403.916703293273]",False,True
2.6600229740142822,"[164.3584551610594, 137.49189432932536]","[175.2479126683641, 158.97337925205488]","[289.9695875403314, 407.32987818437016]",False,True
2.7120659351348877,"[166.81469984741844, 141.8469903295234]","[177.5448660781941, 163.02205414590713]","[245.62446863590486, 435.5096000198037]",False,True
2.763786792755127,"[169.18197292220316, 146.25108130382893]","[179.83312061891476, 167.06754219306453]","[236.72730747847285, 440.40909743055045]",False,True
2.814908027648926,"[171.52720582464949, 150.6669483470833]","[182.2203362139422, 171.1145500807158]","[234.52329024463378, 441.58670432543533]",False,True
2.8669631481170654,"[173.8868744088281, 155.07511840649286]","[184.59138513003344, 175.16109842333213]","[235.9668584178632, 440.81700594095713]",False,True
2.918297052383423,"[176.28838735493935, 159.46063259082118]","[187.0870035406395, 179.20702515635762]","[240.15129461112517, 438.5514184328324]",False,True
2.9707958698272705,"[178.72548890487428, 163.82646986650897]","[189.56441964085312, 183.25233044992677]","[243.7101549934948, 436.58372756877947]",False,True
3.023421049118042,"[181.21301706682175, 168.16377348967472]","[192.1842977162712, 187.29687427928016]","[248.7528161947475, 433.7303623165765]",False,True
3.0747668743133545,"[183.7396278522072, 172.47842724268605]","[194.78442369400273, 191.34083206882605]","[252.6610785385457, 431.46537530113386]",False,True
3.126786947250366,"[186.31987123335134, 176.7612234273285]","[197.53919165546665, 195.3841017130422]","[258.02433811441387, 428.2796184642462]",False,True
3.177873134613037,"[188.94110889933393, 181.0190529400225]","[200.27335503871805, 199.42689784187124]","[262.12376659825884, 425.78295126939935]",False,True
3.2297608852386475,"[191.61761886337, 185.24235656062774]","[203.16877759686835, 203.46910940271067]","[267.65099640360944, 422.3303620605232]",False,True
3.2808680534362793,"[194.33609661357764, 189.43876904981437]","[206.04353355308058, 207.5109699485103]","[271.84777502076383, 419.6412489186641]",False,True
3.332798957824707,"[197.10987040138295, 193.59883852441118]","[209.0807660792425, 211.55236132172487]","[277.3773787805321, 416.0069474596817]",False,True
3.385802984237671,"[199.9254573488465, 197.73072298576588]","[212.0979879213253, 215.59352707482194]","[281.55869474635415, 413.18844613546906]",False,True
3.4370877742767334,"[202.79471485469162, 201.82551973657363]","[215.2739459968751, 219.63434747898282]","[286.9257505845137, 409.47967508077477]",False,True
3.489315986633301,"[205.7044766232425, 205.89163403892755]","[218.43114852488117, 223.67506731661516]","[290.9761768550886, 406.6114302353937]",False,True
3.5429599285125732,"[208.66484092897082, 209.9210561133963]","[221.73908600633877, 227.71557087302182]","[296.0364305728323, 402.9422074468753]",False,True
3.5951340198516846,"[211.66340889749586, 213.92212962208723]","[225.02997830464184, 231.7560956830739]","[299.8567968525033, 400.107350869091]",False,True
3.646782159805298,"[214.70844222235536, 217.88795502722277]","[228.46021806132126, 235.7965349094875]","[304.5033324859493, 396.5825405135534]",False,True
3.6979548931121826,"[217.7886555061382, 221.82651888086687]","[231.8754246544898, 239.8371114804686]","[308.021328378286, 393.85638536440894]",False,True
3.7508950233459473,"[220.91054077951713, 225.73213425546638]","[235.41616559835956, 243.8777310582218]","[312.1885273378924, 390.56153745995033]",False,True
3.8028390407562256,"[224.06412536070223, 229.61219912798006]","[238.94403878773235, 247.9185962745013]","[315.3584581185091, 388.0064872513681]",False,True
3.8548498153686523,"[227.25428786107938, 233.46224618740686]","[242.58216125445307, 251.95962738126622]","[319.0162500377154, 385.00470594268035]",False,True
3.906973123550415,"[230.47244812617532, 237.28892146227196]","[246.2096040986683, 256.0010030670223]","[321.8160265095941, 382.6675274865094]",False,True
