timestamp,particle_position,user_goal,velocity,collision
0.0003819465637207031,"[51.62658212037184, 50.96583712345761]","[54.066455300929604, 52.414592808644024]","[162.65821203718417, 96.58371234576094]",False
0.05124807357788086,"[54.44235513900302, 52.23435786644156]","[58.666014666949785, 54.1371389809175]","[281.57730186311767, 126.85207429839551]",False
0.1020345687866211,"[57.46445600602133, 54.4894043207921]","[61.9976073065488, 57.87197400231789]","[302.21008670183124, 225.50464543505313]",False
0.1522533893585205,"[61.075551354657, 56.71632642969304]","[66.4921943776105, 60.05670959304445]","[361.1095348635669, 222.6922108900942]",False
0.20665359497070312,"[64.95826862747617, 58.67857267553777]","[70.78234453670494, 61.621942044304866]","[388.27172728191755, 196.22462458447302]",False
0.2573230266571045,"[68.9231965402562, 60.94232407371144]","[74.87058840942625, 64.33795117097195]","[396.492791278003, 226.37513981736703]",False
0.3084073066711426,"[72.39293102667297, 63.22282978850002]","[77.59753275629814, 66.6435883606829]","[346.97344864167746, 228.05057147885833]",False
0.3594508171081543,"[76.18247878754569, 65.39459043057211]","[81.86680042885479, 68.65223139368024]","[378.95477608727276, 217.1760642072087]",False
0.41050124168395996,"[79.36523433745634, 68.28042715708891]","[84.13936766232233, 72.6091822468641]","[318.2755549910655, 288.5836726516794]",False
0.4624607563018799,"[83.04726471669153, 70.74022380693027]","[88.57031028554431, 74.42991878169234]","[368.20303792351865, 245.97966498413712]",False
0.5144655704498291,"[86.88361074780546, 73.39586865532652]","[92.63812979447637, 77.37933592792089]","[383.63460311139363, 265.5644848396247]",False
0.5655257701873779,"[90.58409010090487, 76.42074440961004]","[96.13480913055398, 80.9580580410353]","[370.0479353099405, 302.4875754283511]",False
0.6163265705108643,"[93.49588373111136, 79.83158631823365]","[97.8635741764211, 84.94784918116908]","[291.1793630206489, 341.08419086236154]",False
0.6675169467926025,"[95.87964594990173, 83.65699672738573]","[99.45528927808729, 89.39511234111384]","[238.3762218790372, 382.5410409152079]",False
0.7184407711029053,"[97.09471918543169, 87.94997805618877]","[98.91732903872663, 94.38945004939332]","[121.50732355299624, 429.29813288030346]",False
0.769589900970459,"[98.82968764976803, 91.63956997995764]","[101.43214034627255, 97.17395786561094]","[173.49684643363446, 368.959192376887]",False
0.8193180561065674,"[100.47131452846048, 95.57510574842418]","[102.93375484649914, 101.478409401124]","[164.16268786924434, 393.5535768466542]",False
0.8704061508178711,"[102.01802338329982, 98.95314612804187]","[104.33808666555882, 104.02020669746838]","[154.6708854839335, 337.80403796176813]",False
0.9215397834777832,"[104.24372126394307, 102.51787609714282]","[107.58226808490795, 107.86497105079425]","[222.56978806432528, 356.4729969100955]",False
0.9725546836853027,"[105.08557100120173, 106.56759387412163]","[106.3483467355531, 112.64217060862603]","[84.18497372586606, 404.97177769788055]",False
1.0252690315246582,"[106.9166709142696, 110.50931961291263]","[109.66332248675154, 116.42190825475345]","[183.10999130678786, 394.1725738791012]",False
1.0774798393249512,"[108.86600524545774, 114.3248326853374]","[111.79000968337131, 120.04810223081964]","[194.93343311881452, 381.5513072424765]",False
1.1293723583221436,"[110.98530794083203, 118.29534632005013]","[114.16426642755413, 124.25111649191771]","[211.93026953742879, 397.05136347127325]",False
1.1815261840820312,"[112.82162040401496, 122.0695508954856]","[115.57609538509773, 127.7308570776134]","[183.63124631829314, 377.42045754354695]",False
1.2332713603973389,"[114.70347384691797, 126.15900669758496]","[117.52626195098725, 132.29318918537007]","[188.18534429030097, 408.9455802099348]",False
1.2852413654327393,"[116.42032841578765, 129.95730765040645]","[118.99561981327642, 135.65475713802797]","[171.68545688696838, 379.83009528214905]",False
1.3363375663757324,"[118.73184729925602, 133.7742215541193]","[122.19913644587662, 139.4995896815029]","[231.1518883468367, 381.69139037128355]",False
1.38731050491333,"[122.04304657846507, 136.53432353778805]","[127.0098584237282, 140.67447256834305]","[331.11992792090484, 276.0101983668755]",False
1.4383468627929688,"[125.47192813907812, 139.59291590322792]","[130.61526858777034, 144.18079806726146]","[342.8881560613047, 305.85923654398755]",False
1.4893488883972168,"[129.5167308540772, 141.70548545795984]","[135.58395935363538, 144.87432980919206]","[404.4802714999081, 211.25695547319228]",False
1.5412631034851074,"[133.6540096501853, 143.52188342402627]","[139.8599646583467, 146.2464634087431]","[413.727879610809, 181.6397966066435]",False
1.5923233032226562,"[137.62596670236675, 145.6939681688367]","[143.58395860177532, 148.9520662478382]","[397.19570521814614, 217.20847448104269]",False
1.6432466506958008,"[141.39932305372477, 147.75992254440908]","[147.05943838323395, 150.85880711971765]","[377.335635135803, 206.59543755723814]",False
