timestamp,particle_position,user_goal,velocity,collision
0.009445667266845703,"[47.23653427253228, 49.79443814997829]","[44.725, 55.275]","[-276.346572746772, -20.556185002170896]",False
0.07065486907958984,"[50.51760605382224, 53.56705808231302]","[45.10199061501073, 60.33630590175119]","[328.10717812899617, 377.2619932334728]",False
0.13143372535705566,"[53.58840766130262, 57.51342688547723]","[50.04717570930373, 65.1945615222218]","[307.08016074803754, 394.6368803164213]",False
0.191117525100708,"[56.42105487472383, 61.633825911512595]","[55.06474717968769, 70.24830694425295]","[283.26472134212116, 412.0399026035365]",False
0.25136375427246094,"[58.989885371611805, 65.92402864960957]","[54.81954962501703, 75.30643630355182]","[256.88304968879726, 429.0202738096972]",False
0.3109745979309082,"[61.268831651986915, 70.37473499090534]","[60.08779103398564, 80.3683259747007]","[227.89462803751098, 445.0706341295765]",False
0.3704102039337158,"[63.23369201553439, 74.97248754310591]","[65.12094108655134, 85.43342711958623]","[196.48603635474703, 459.77525522005766]",False
0.43001580238342285,"[65.27300634422797, 79.53770315489122]","[70.17047692231506, 90.50121237132547]","[203.9314328693581, 456.52156117853013]",False
0.489337682723999,"[67.90695050726447, 83.78768104485283]","[75.21538919233662, 95.58015070257177]","[263.3944163036503, 424.99778899616206]",False
0.5486724376678467,"[70.50900693653506, 88.05733884216919]","[80.24612294808314, 100.67697418343869]","[260.2056429270594, 426.9657797316358]",False
0.6086781024932861,"[73.00472236141323, 92.38990209207518]","[85.32017230008876, 105.7607034938601]","[249.57154248781677, 433.2563249905988]",False
0.6693379878997803,"[75.46124289519521, 96.74484140012218]","[90.41046573850132, 110.84560871077025]","[245.65205337819816, 435.49393080470134]",False
0.7290914058685303,"[77.93439200387476, 101.09046393660654]","[95.51011926858015, 115.93576570086259]","[247.3149108679553, 434.562253648435]",False
0.7885353565216064,"[80.47068667736525, 105.39993770409654]","[100.6196158798159, 121.03077921975769]","[253.62946734904838, 430.9473767490009]",False
0.8480648994445801,"[83.10932172956433, 109.64728147538163]","[105.73910516818853, 126.13058696968693]","[263.8635052199072, 424.73437712850864]",False
0.9079492092132568,"[85.881974129612, 113.80829939906394]","[110.86844154060528, 131.23545706212025]","[277.2652400047678, 416.10179236823154]",False
0.9675004482269287,"[88.81406551016245, 117.85858577795267]","[116.00733080256478, 136.3457318575051]","[293.2091380550451, 405.0286378888726]",False
1.0266139507293701,"[91.92521341924356, 121.77298267886225]","[121.15528852598884, 141.461975505855]","[311.11479090811076, 391.4396900909573]",False
1.0853912830352783,"[95.22951997893657, 125.5255601091242]","[126.31170963246609, 141.30990506635965]","[330.4306559692999, 375.25774302619436]",False
1.1449604034423828,"[98.73560078371224, 129.09021666936206]","[131.4759041000408, 146.6653682393464]","[350.6080804775674, 356.4656560237861]",False
1.2058782577514648,"[102.44722242249688, 132.44034931529302]","[136.6471373838681, 146.50431319950079]","[371.16216387846384, 335.01326459309576]",False
1.2666740417480469,"[106.3631180775267, 135.54930539707675]","[141.82462423005518, 146.57783764863967]","[391.5895655029821, 310.89560817837304]",False
1.3264780044555664,"[110.47724446236793, 138.3907807425766]","[147.00759493885528, 146.63714994986165]","[411.4126384841231, 284.14753454998447]",False
1.3856127262115479,"[114.77909037055338, 140.9391188370275]","[152.19529718005288, 146.68357008296297]","[430.18459081854405, 254.83380944509244]",False
1.4459998607635498,"[119.25375953580212, 143.17081683588844]","[157.38701575203288, 146.71853135133028]","[447.4669165248749, 223.16979988609435]",False
1.505500078201294,"[123.88241246234013, 145.06135685047138]","[162.58210579150074, 146.74350927193032]","[462.86529265380034, 189.05400145829358]",False
1.566256046295166,"[128.64290111615952, 146.59053184579386]","[167.77999454112455, 146.76026038689187]","[476.0488653819387, 152.91749953224854]",False
1.6264636516571045,"[133.50901570632527, 147.74028469320777]","[172.9801882491797, 141.49537597862593]","[486.61145901657375, 114.9752847413894]",False
1.685934066772461,"[138.45183859198198, 148.49430043842338]","[178.18236187383076, 141.7256456625553]","[494.2822885656712, 75.40157452156076]",False
1.7466716766357422,"[143.43987792132222, 148.8405395466759]","[183.3862672660963, 146.9779610154731]","[498.80393293402375, 34.62391082525144]",False
1.8062622547149658,"[148.4274416921537, 149.18992728936942]","[188.5918070543055, 152.00414714958788]","[498.75637708314935, 34.93877426935277]",False
1.865091323852539,"[153.35355150386533, 150.04148907608783]","[193.79969362377017, 157.033040081419]","[492.6109811711624, 85.15617867184169]",False
1.9250857830047607,"[158.18891533461243, 151.3140317694059]","[199.01099856420683, 162.0577239338373]","[483.5363830747092, 127.25426933180643]",False
1.985011100769043,"[162.91913775286363, 152.93666565059175]","[204.224591286582, 167.1051047296603]","[473.02224182511986, 162.26338811858693]",False
2.0449938774108887,"[167.5393108926317, 154.8469638870865]","[209.44025266844247, 172.17291684201393]","[462.0173139768075, 191.02982364947587]",False
2.1045453548431396,"[172.0545474202935, 156.99466486446067]","[214.6580585779035, 177.25929880481306]","[451.5236527661787, 214.77009773741716]",False
2.1645150184631348,"[176.47157560716866, 159.33765890445537]","[219.8780326714073, 182.3624553434468]","[441.70281868751624, 234.29940399947066]",False
2.224477529525757,"[180.79907599977815, 161.8421356435184]","[225.1005852104108, 187.4810023957935]","[432.75003926094996, 250.4476739063012]",False
2.2848634719848633,"[185.04610534818391, 164.48085626405825]","[230.3260662201252, 192.61371758262248]","[424.7029348405774, 263.8720620539848]",False
2.3449008464813232,"[189.2213118322761, 167.23177936117108]","[235.55485924559446, 197.75960110722835]","[417.52064840921605, 275.0923097112821]",False
2.4045512676239014,"[193.33223452412628, 170.07674548268838]","[240.78734382964876, 202.91783208659385]","[411.0922691850192, 284.4966121517313]",False
2.4648854732513428,"[197.38723084392575, 173.00195680549317]","[246.02389684664024, 208.08774620796018]","[405.4996319799457, 292.5211322804788]",False
2.524674415588379,"[201.39211040128833, 175.9951194605613]","[251.26475701102314, 213.26872416386834]","[400.48795573625745, 299.316265506814]",False
2.5852761268615723,"[205.35300594545623, 179.0467323214305]","[256.51030229713854, 218.46035099995237]","[396.08955441679035, 305.1612860869187]",False
2.645049810409546,"[209.27508258813833, 182.14880503669204]","[261.760736468071, 223.66219482805516]","[392.20766426821035, 310.207271526153]",False
2.7046732902526855,"[213.16188399900608, 185.29406873868592]","[267.0163020002046, 228.87392781015208]","[388.6801410867756, 314.5263701993887]",False
