timestamp,particle_position,user_goal,velocity,collision
0.009233236312866211,"[53.383774119371395, 53.68104717725731]","[53.24887476619549, 53.53429405806581]","[338.37741193713987, 368.104717725731]",False
0.06844091415405273,"[58.14722300560351, 55.20077925059209]","[57.835177479099556, 55.10121763975765]","[476.34488862321155, 151.9732073334778]",False
0.12715387344360352,"[60.643985885353324, 59.5327777600644]","[60.45850431560819, 59.210959352703014]","[249.67628797498188, 433.19985094723046]",False
0.20577192306518555,"[65.6373012908213, 59.274244612385814]","[65.50665583729126, 59.28099342494047]","[499.33154054679693, -25.853314767858578]",False
0.2738802433013916,"[70.6335189334888, 59.46876408645076]","[69.29569557537553, 59.41667781786311]","[499.6217642667507, 19.451947406494863]",False
0.3410916328430176,"[75.38245391402837, 57.90426046887863]","[74.24469106903507, 58.27908756161459]","[474.893498053957, -156.4503617572126]",False
0.40978121757507324,"[80.11081142769247, 56.27862913738663]","[78.69266394680787, 56.76619465203034]","[472.8357513664096, -162.56313314920055]",False
0.4800591468811035,"[84.52028356005702, 58.6358663516824]","[83.0825533424146, 57.867277457915726]","[440.94721323645564, 235.72372142957695]",False
0.5492336750030518,"[88.32554555285924, 61.55398013145855]","[86.42291455645812, 60.09492324157048]","[380.5261992802218, 291.81137797761494]",False
0.6168563365936279,"[92.30946983103335, 64.57529552034326]","[90.44961098622308, 63.164821887728806]","[398.39242781741115, 302.13153888847063]",False
0.6859612464904785,"[95.22859892351161, 66.92970615266326]","[93.76903437727248, 65.75250083650324]","[291.9129092478261, 235.44106323199927]",False
0.7472527027130127,"[98.83047980913908, 70.397624975689]","[97.54907500429944, 69.16387849737802]","[360.188088562746, 346.79188230257415]",False
0.8075482845306396,"[103.41748788062063, 72.3874380706399]","[101.30743226522358, 71.47211020792828]","[458.70080714815526, 198.98130949508982]",False
0.866943359375,"[104.18347944211368, 77.32841638892613]","[103.94044689970715, 75.76075104756016]","[76.59915614930541, 494.09783182862225]",False
0.925464391708374,"[108.8863899643623, 79.02625415199157]","[107.80463968485927, 78.63572154425428]","[470.2910522248619, 169.7837763065432]",False
0.9846622943878174,"[108.73760266659949, 84.02404309964157]","[108.74818761387958, 83.66835570679878]","[-14.878729776280693, 499.7788947650011]",False
1.043482780456543,"[113.30602928472953, 86.0561558105983]","[113.2948220080645, 86.05115545423402]","[456.84266181300416, 203.21127109567234]",False
1.1023852825164795,"[112.33808853519493, 90.96157129116874]","[112.288982302684, 91.21034792298751]","[-96.79407495346, 490.54154805704445]",False
1.1615121364593506,"[113.55679039091366, 95.81077604594479]","[113.3540094688044, 95.00391447409281]","[121.87018557187336, 484.9204754776054]",False
1.2206947803497314,"[114.45025477261322, 100.73030159181016]","[114.18571283638327, 99.27370114958725]","[89.34643816995536, 491.95255458653764]",False
1.2782998085021973,"[114.69356020882482, 105.7243784030002]","[114.58644200928396, 103.5256748941006]","[24.330543621159524, 499.40768111900485]",False
1.3375318050384521,"[117.20362078800072, 109.98733331409144]","[115.94859049841322, 107.85585585854629]","[251.0060579175905, 426.2954911091249]",False
