delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,key_pressed,success
0.01,0.0,0.00017595291137695312,"[50.05, 50.05]","[50.05, 50.05]","[5.0, 5.0]",False,DOWN,True
0.01,0.01,0.05100297927856445,"[50.15, 50.15]","[50.15, 50.15]","[10.0, 10.0]",False,DOWN,True
0.01,0.02,0.10199999809265137,"[50.3, 50.3]","[50.3, 50.3]","[15.0, 15.0]",False,DOWN,True
0.01,0.03,0.1551661491394043,"[50.5, 50.5]","[50.5, 50.5]","[20.0, 20.0]",False,DOWN,True
0.01,0.04,0.2070620059967041,"[50.75, 50.75]","[50.75, 50.75]","[25.0, 25.0]",False,DOWN,True
0.01,0.05,0.2580850124359131,"[51.05, 51.05]","[51.05, 51.05]","[30.0, 30.0]",False,DOWN,True
0.01,0.060000000000000005,0.30902791023254395,"[51.4, 51.4]","[51.4, 51.4]","[35.0, 35.0]",False,DOWN,True
0.01,0.07,0.36236000061035156,"[51.8, 51.8]","[51.8, 51.8]","[40.0, 40.0]",False,DOWN,True
0.01,0.08,0.4152541160583496,"[51.8, 51.8]","[51.8, 51.8]","[0.0, 0.0]",False,,True
0.01,0.09,0.4668610095977783,"[51.8, 51.8]","[51.8, 51.8]","[0.0, 0.0]",False,,True
0.01,0.09999999999999999,0.5183250904083252,"[51.8, 51.8]","[51.8, 51.8]","[0.0, 0.0]",False,,True
0.01,0.10999999999999999,0.5710921287536621,"[51.8, 51.8]","[51.8, 51.8]","[0.0, 0.0]",False,,True
0.01,0.11999999999999998,0.6238570213317871,"[51.8, 51.8]","[51.8, 51.8]","[0.0, 0.0]",False,,True
0.01,0.12999999999999998,0.6760909557342529,"[51.8, 51.8]","[51.8, 51.8]","[0.0, 0.0]",False,,True
0.01,0.13999999999999999,0.7304339408874512,"[51.8, 51.849999999999994]","[51.8, 51.849999999999994]","[0.0, 5.0]",False,DOWN,True
0.01,0.15,0.7841920852661133,"[51.849999999999994, 51.949999999999996]","[51.849999999999994, 51.949999999999996]","[5.0, 10.0]",False,DOWN,True
0.01,0.16,0.8360321521759033,"[51.949999999999996, 52.099999999999994]","[51.949999999999996, 52.099999999999994]","[10.0, 15.0]",False,DOWN,True
0.01,0.17,0.8872189521789551,"[52.099999999999994, 52.3]","[52.099999999999994, 52.3]","[15.0, 20.0]",False,DOWN,True
0.01,0.18000000000000002,0.9379558563232422,"[52.3, 52.55]","[52.3, 52.55]","[20.0, 25.0]",False,DOWN,True
0.01,0.19000000000000003,0.990239143371582,"[52.5, 52.849999999999994]","[52.5, 52.849999999999994]","[20.0, 30.0]",False,DOWN,True
0.01,0.20000000000000004,1.0429580211639404,"[52.7, 53.199999999999996]","[52.7, 53.199999999999996]","[20.0, 35.0]",False,DOWN,True
0.01,0.21000000000000005,1.095306158065796,"[52.900000000000006, 53.599999999999994]","[52.900000000000006, 53.599999999999994]","[20.0, 40.0]",False,DOWN,True
0.01,0.22000000000000006,1.1470799446105957,"[53.10000000000001, 54.05]","[53.10000000000001, 54.05]","[20.0, 45.0]",False,DOWN,True
0.01,0.23000000000000007,1.1992661952972412,"[53.30000000000001, 54.55]","[53.30000000000001, 54.55]","[20.0, 50.0]",False,DOWN,True
0.01,0.24000000000000007,1.2522478103637695,"[53.500000000000014, 55.099999999999994]","[53.500000000000014, 55.099999999999994]","[20.0, 55.0]",False,DOWN,True
0.01,0.25000000000000006,1.304854154586792,"[53.70000000000002, 55.699999999999996]","[53.70000000000002, 55.699999999999996]","[20.0, 60.0]",False,DOWN,True
0.01,0.26000000000000006,1.3551671504974365,"[53.90000000000002, 56.349999999999994]","[53.90000000000002, 56.349999999999994]","[20.0, 65.0]",False,DOWN,True
0.01,0.2700000000000001,1.4065759181976318,"[54.10000000000002, 57.05]","[54.10000000000002, 57.05]","[20.0, 70.0]",False,DOWN,True
0.01,0.2800000000000001,1.4584250450134277,"[54.300000000000026, 57.8]","[54.300000000000026, 57.8]","[20.0, 75.0]",False,DOWN,True
0.01,0.2900000000000001,1.509993076324463,"[54.50000000000003, 58.599999999999994]","[54.50000000000003, 58.599999999999994]","[20.0, 80.0]",False,DOWN,True
0.01,0.3000000000000001,1.5609941482543945,"[54.70000000000003, 59.449999999999996]","[54.70000000000003, 59.449999999999996]","[20.0, 85.0]",False,DOWN,True
0.01,0.3100000000000001,1.6118831634521484,"[54.900000000000034, 60.349999999999994]","[54.900000000000034, 60.349999999999994]","[20.0, 90.0]",False,DOWN,True
0.01,0.3200000000000001,1.6634221076965332,"[55.10000000000004, 61.3]","[55.10000000000004, 61.3]","[20.0, 95.0]",False,DOWN,True
0.01,0.3300000000000001,1.715325117111206,"[55.30000000000004, 62.3]","[55.30000000000004, 62.3]","[20.0, 100.0]",False,DOWN,True
0.01,0.34000000000000014,1.7659411430358887,"[55.50000000000004, 63.349999999999994]","[55.50000000000004, 63.349999999999994]","[20.0, 105.0]",False,DOWN,True
0.01,0.35000000000000014,1.8192760944366455,"[55.65000000000004, 64.44999999999999]","[55.65000000000004, 64.44999999999999]","[15.0, 110.0]",False,DOWN,True
0.01,0.36000000000000015,1.871269941329956,"[55.75000000000004, 65.6]","[55.75000000000004, 65.6]","[10.0, 115.0]",False,DOWN,True
0.01,0.37000000000000016,1.9220151901245117,"[55.80000000000004, 66.8]","[55.80000000000004, 66.8]","[5.0, 120.0]",False,DOWN,True
0.01,0.38000000000000017,1.9731080532073975,"[55.80000000000004, 68.05]","[55.80000000000004, 68.05]","[0.0, 125.0]",False,DOWN,True
0.01,0.3900000000000002,2.024489164352417,"[55.75000000000004, 69.35]","[55.75000000000004, 69.35]","[-5.0, 130.0]",False,DOWN,True
0.01,0.4000000000000002,2.0766820907592773,"[55.65000000000004, 70.69999999999999]","[55.65000000000004, 70.69999999999999]","[-10.0, 135.0]",False,DOWN,True
0.01,0.4100000000000002,2.1283631324768066,"[55.50000000000004, 72.1]","[55.50000000000004, 72.1]","[-15.0, 140.0]",False,DOWN,True
0.01,0.4200000000000002,2.1802480220794678,"[55.30000000000004, 73.55]","[55.30000000000004, 73.55]","[-20.0, 145.0]",False,DOWN,True
0.01,0.4300000000000002,2.2327680587768555,"[55.10000000000004, 75.05]","[55.10000000000004, 75.05]","[-20.0, 150.0]",False,DOWN,True
0.01,0.4400000000000002,2.2841439247131348,"[54.900000000000034, 76.6]","[54.900000000000034, 76.6]","[-20.0, 155.0]",False,DOWN,True
0.01,0.45000000000000023,2.3365190029144287,"[54.70000000000003, 78.19999999999999]","[54.70000000000003, 78.19999999999999]","[-20.0, 160.0]",False,DOWN,True
0.01,0.46000000000000024,2.3880550861358643,"[54.50000000000003, 79.85]","[54.50000000000003, 79.85]","[-20.0, 165.0]",False,DOWN,True
0.01,0.47000000000000025,2.4394478797912598,"[54.300000000000026, 81.55]","[54.300000000000026, 81.55]","[-20.0, 170.0]",False,DOWN,True
0.01,0.48000000000000026,2.4910500049591064,"[54.10000000000002, 83.3]","[54.10000000000002, 83.3]","[-20.0, 175.0]",False,DOWN,True
0.01,0.49000000000000027,2.5428249835968018,"[53.90000000000002, 85.1]","[53.90000000000002, 85.1]","[-20.0, 180.0]",False,DOWN,True
0.01,0.5000000000000002,2.595731019973755,"[53.70000000000002, 86.94999999999999]","[53.70000000000002, 86.94999999999999]","[-20.0, 185.0]",False,DOWN,True
0.01,0.5100000000000002,2.648972988128662,"[53.500000000000014, 88.85]","[53.500000000000014, 88.85]","[-20.0, 190.0]",False,DOWN,True
0.01,0.5200000000000002,2.700144052505493,"[53.30000000000001, 90.8]","[53.30000000000001, 90.8]","[-20.0, 195.0]",False,DOWN,True
0.01,0.5300000000000002,2.751620054244995,"[53.10000000000001, 92.8]","[53.10000000000001, 92.8]","[-20.0, 200.0]",False,DOWN,True
0.01,0.5400000000000003,2.804617166519165,"[52.900000000000006, 94.85]","[52.900000000000006, 94.85]","[-20.0, 205.0]",False,DOWN,True
0.01,0.5500000000000003,2.857071876525879,"[52.7, 96.94999999999999]","[52.7, 96.94999999999999]","[-20.0, 210.0]",False,DOWN,True
0.01,0.5600000000000003,2.9092140197753906,"[52.550000000000004, 99.1]","[52.550000000000004, 99.1]","[-15.0, 215.0]",False,DOWN,True
0.01,0.5700000000000003,2.9606528282165527,"[52.45, 101.3]","[52.45, 101.3]","[-10.0, 220.0]",False,DOWN,True
0.01,0.5800000000000003,3.013072967529297,"[52.400000000000006, 103.55]","[52.400000000000006, 103.55]","[-5.0, 225.0]",False,DOWN,True
0.01,0.5900000000000003,3.064008951187134,"[52.400000000000006, 105.85]","[52.400000000000006, 105.85]","[0.0, 230.0]",False,DOWN,True
0.01,0.6000000000000003,3.115199089050293,"[52.45, 108.19999999999999]","[52.45, 108.19999999999999]","[5.0, 235.0]",False,DOWN,True
0.01,0.6100000000000003,3.166706085205078,"[52.550000000000004, 110.6]","[52.550000000000004, 110.6]","[10.0, 240.0]",False,DOWN,True
0.01,0.6200000000000003,3.2194180488586426,"[52.7, 113.05]","[52.7, 113.05]","[15.0, 245.0]",False,DOWN,True
0.01,0.6300000000000003,3.2719221115112305,"[52.900000000000006, 115.55]","[52.900000000000006, 115.55]","[20.0, 250.0]",False,DOWN,True
0.01,0.6400000000000003,3.3231000900268555,"[53.150000000000006, 118.1]","[53.150000000000006, 118.1]","[25.0, 255.0]",False,DOWN,True
0.01,0.6500000000000004,3.374290943145752,"[53.45, 120.69999999999999]","[53.45, 120.69999999999999]","[30.0, 260.0]",False,DOWN,True
0.01,0.6600000000000004,3.4275009632110596,"[53.800000000000004, 123.35]","[53.800000000000004, 123.35]","[35.0, 265.0]",False,DOWN,True
0.01,0.6700000000000004,3.4791271686553955,"[54.2, 126.05]","[54.2, 126.05]","[40.0, 270.0]",False,DOWN,True
0.01,0.6800000000000004,3.534081220626831,"[54.650000000000006, 128.8]","[54.650000000000006, 128.8]","[45.0, 275.0]",False,DOWN,True
0.01,0.6900000000000004,3.5865721702575684,"[55.150000000000006, 131.60000000000002]","[55.150000000000006, 131.60000000000002]","[50.0, 280.0]",False,DOWN,True
0.01,0.7000000000000004,3.6380481719970703,"[55.7, 134.45000000000002]","[55.7, 134.45000000000002]","[55.0, 285.0]",False,DOWN,True
0.01,0.7100000000000004,3.6902360916137695,"[56.300000000000004, 137.35000000000002]","[56.300000000000004, 137.35000000000002]","[60.0, 290.0]",False,DOWN,True
0.01,0.7200000000000004,3.7408931255340576,"[56.95, 140.3]","[56.95, 140.3]","[65.0, 295.0]",False,DOWN,True
0.01,0.7300000000000004,3.7939870357513428,"[57.650000000000006, 143.3]","[57.650000000000006, 143.3]","[70.0, 300.0]",False,DOWN,True
0.01,0.7400000000000004,3.847130060195923,"[58.400000000000006, 146.35000000000002]","[58.400000000000006, 146.35000000000002]","[75.0, 305.0]",False,DOWN,True
0.01,0.7500000000000004,3.8979549407958984,"[59.2, 149.45000000000002]","[59.2, 149.45000000000002]","[80.0, 310.0]",False,DOWN,True
0.01,0.7600000000000005,3.954411029815674,"[60.050000000000004, 152.60000000000002]","[60.050000000000004, 152.60000000000002]","[85.0, 315.0]",False,DOWN,True
0.01,0.7700000000000005,4.007501840591431,"[60.95, 155.8]","[60.95, 155.8]","[90.0, 320.0]",False,DOWN,True
