delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,key_pressed,success
0.01,0.49000000000000027,2.567915916442871,"[90.5, 81.0]","[90.5, 81.0]","[200.0, 175.0]",False,DOWN,True
0.01,0.5000000000000002,2.620435953140259,"[92.55, 82.8]","[92.55, 82.8]","[205.0, 180.0]",False,DOWN,True
0.01,0.5100000000000002,2.6719448566436768,"[94.64999999999999, 84.64999999999999]","[94.64999999999999, 84.64999999999999]","[210.0, 185.0]",False,DOWN,True
0.01,0.5200000000000002,2.722433090209961,"[96.8, 86.55]","[96.8, 86.55]","[215.0, 190.0]",False,DOWN,True
0.01,0.5300000000000002,2.7746949195861816,"[99.0, 88.5]","[99.0, 88.5]","[220.0, 195.0]",False,DOWN,True
0.01,0.5400000000000003,2.827854871749878,"[101.25, 90.5]","[101.25, 90.5]","[225.0, 200.0]",False,DOWN,True
0.01,0.5500000000000003,2.8784167766571045,"[103.55, 92.55]","[103.55, 92.55]","[230.0, 205.0]",False,DOWN,True
0.01,0.5600000000000003,2.9333717823028564,"[105.89999999999999, 94.64999999999999]","[105.89999999999999, 94.64999999999999]","[235.0, 210.0]",False,DOWN,True
0.01,0.5700000000000003,2.9848649501800537,"[108.3, 96.8]","[108.3, 96.8]","[240.0, 215.0]",False,DOWN,True
0.01,0.5800000000000003,3.038733720779419,"[110.75, 99.0]","[110.75, 99.0]","[245.0, 220.0]",False,DOWN,True
0.01,0.5900000000000003,3.0901858806610107,"[113.25, 101.25]","[113.25, 101.25]","[250.0, 225.0]",False,DOWN,True
0.01,0.6000000000000003,3.14139986038208,"[115.8, 103.55]","[115.8, 103.55]","[255.0, 230.0]",False,DOWN,True
0.01,0.6100000000000003,3.1947178840637207,"[118.39999999999999, 105.89999999999999]","[118.39999999999999, 105.89999999999999]","[260.0, 235.0]",False,DOWN,True
0.01,0.6200000000000003,3.2468998432159424,"[121.05, 108.3]","[121.05, 108.3]","[265.0, 240.0]",False,DOWN,True
0.01,0.6300000000000003,3.2994120121002197,"[123.75, 110.75]","[123.75, 110.75]","[270.0, 245.0]",False,DOWN,True
0.01,0.6400000000000003,3.355564832687378,"[126.5, 113.25]","[126.5, 113.25]","[275.0, 250.0]",False,DOWN,True
0.01,0.6500000000000004,3.4069318771362305,"[129.3, 115.8]","[129.3, 115.8]","[280.0, 255.0]",False,DOWN,True
0.01,0.6600000000000004,3.4597320556640625,"[132.15, 118.39999999999999]","[132.15, 118.39999999999999]","[285.0, 260.0]",False,DOWN,True
0.01,0.6700000000000004,3.511730909347534,"[135.05, 121.05]","[135.05, 121.05]","[290.0, 265.0]",False,DOWN,True
0.01,0.6800000000000004,3.5626020431518555,"[138.0, 123.75]","[138.0, 123.75]","[295.0, 270.0]",False,DOWN,True
0.01,0.6900000000000004,3.6162779331207275,"[141.0, 126.5]","[141.0, 126.5]","[300.0, 275.0]",False,DOWN,True
0.01,0.7000000000000004,3.6694538593292236,"[144.05, 129.3]","[144.05, 129.3]","[305.0, 280.0]",False,DOWN,True
0.01,0.7100000000000004,3.7203080654144287,"[147.15, 132.15]","[147.15, 132.15]","[310.0, 285.0]",False,DOWN,True
0.01,0.7200000000000004,3.770796775817871,"[150.3, 135.05]","[150.3, 135.05]","[315.0, 290.0]",False,DOWN,True
0.01,0.7300000000000004,3.821347713470459,"[153.5, 138.0]","[153.5, 138.0]","[320.0, 295.0]",False,DOWN,True
0.01,0.7400000000000004,3.8718478679656982,"[156.75, 141.0]","[156.75, 141.0]","[325.0, 300.0]",False,DOWN,True
0.01,0.7500000000000004,3.9229719638824463,"[160.05, 144.05]","[160.05, 144.05]","[330.0, 305.0]",False,DOWN,True
0.01,0.7600000000000005,3.9734268188476562,"[163.4, 147.15]","[163.4, 147.15]","[335.0, 310.0]",False,DOWN,True
0.01,0.7700000000000005,4.024954795837402,"[166.8, 150.3]","[166.8, 150.3]","[340.0, 315.0]",False,DOWN,True
0.01,0.7800000000000005,4.075352907180786,"[170.25, 153.5]","[170.25, 153.5]","[345.0, 320.0]",False,DOWN,True
0.01,0.7900000000000005,4.125848770141602,"[173.75, 156.75]","[173.75, 156.75]","[350.0, 325.0]",False,DOWN,True
0.01,0.8000000000000005,4.176868915557861,"[177.3, 160.05]","[177.3, 160.05]","[355.0, 330.0]",False,DOWN,True
0.01,0.8100000000000005,4.227334976196289,"[180.9, 163.4]","[180.9, 163.4]","[360.0, 335.0]",False,DOWN,True
0.01,0.8200000000000005,4.277902841567993,"[184.55, 166.8]","[184.55, 166.8]","[365.0, 340.0]",False,DOWN,True
0.01,0.8300000000000005,4.328334808349609,"[188.25, 170.25]","[188.25, 170.25]","[370.0, 345.0]",False,DOWN,True
0.01,0.8400000000000005,4.378852844238281,"[192.0, 173.75]","[192.0, 173.75]","[375.0, 350.0]",False,DOWN,True
0.01,0.8500000000000005,4.429958820343018,"[195.8, 177.3]","[195.8, 177.3]","[380.0, 355.0]",False,DOWN,True
0.01,0.8600000000000005,4.480320930480957,"[199.65, 180.9]","[199.65, 180.9]","[385.0, 360.0]",False,DOWN,True
0.01,0.8700000000000006,4.530858039855957,"[203.55, 184.55]","[203.55, 184.55]","[390.0, 365.0]",False,DOWN,True
0.01,0.8800000000000006,4.581319808959961,"[207.5, 188.25]","[207.5, 188.25]","[395.0, 370.0]",False,DOWN,True
0.01,0.8900000000000006,4.631861925125122,"[211.5, 192.0]","[211.5, 192.0]","[400.0, 375.0]",False,DOWN,True
0.01,0.9000000000000006,4.682771921157837,"[215.55, 195.8]","[215.55, 195.8]","[405.0, 380.0]",False,DOWN,True
0.01,0.9100000000000006,4.733337879180908,"[219.65, 199.65]","[219.65, 199.65]","[410.0, 385.0]",False,DOWN,True
0.01,0.9200000000000006,4.783877849578857,"[223.8, 203.55]","[223.8, 203.55]","[415.0, 390.0]",False,DOWN,True
0.01,0.9300000000000006,4.834343910217285,"[228.0, 207.5]","[228.0, 207.5]","[420.0, 395.0]",False,DOWN,True
0.01,0.9400000000000006,4.885114908218384,"[232.25, 211.5]","[232.25, 211.5]","[425.0, 400.0]",False,DOWN,True
0.01,0.9500000000000006,4.936272859573364,"[236.55, 215.55]","[236.55, 215.55]","[430.0, 405.0]",False,DOWN,True
0.01,0.9600000000000006,4.986505031585693,"[240.9, 219.65]","[240.9, 219.65]","[435.0, 410.0]",False,DOWN,True
0.01,0.9700000000000006,5.038465976715088,"[245.3, 223.8]","[245.3, 223.8]","[440.0, 415.0]",False,DOWN,True
0.01,0.9800000000000006,5.0893778800964355,"[249.75, 228.0]","[249.75, 228.0]","[445.0, 420.0]",False,DOWN,True
0.01,0.9900000000000007,5.141775846481323,"[254.25, 232.25]","[254.25, 232.25]","[450.0, 425.0]",False,DOWN,True
0.01,1.0000000000000007,5.19413685798645,"[258.8, 236.55]","[258.8, 236.55]","[455.0, 430.0]",False,DOWN,True
0.01,1.0100000000000007,5.244639873504639,"[263.40000000000003, 240.9]","[263.40000000000003, 240.9]","[460.0, 435.0]",False,DOWN,True
0.01,1.0200000000000007,5.298666954040527,"[268.05, 245.3]","[268.05, 245.3]","[465.0, 440.0]",False,DOWN,True
0.01,1.0300000000000007,5.350316762924194,"[272.75, 249.75]","[272.75, 249.75]","[470.0, 445.0]",False,DOWN,True
0.01,1.0400000000000007,5.4015209674835205,"[277.5, 254.25]","[277.5, 254.25]","[475.0, 450.0]",False,DOWN,True
0.01,1.0500000000000007,5.456950902938843,"[282.3, 258.8]","[282.3, 258.8]","[480.0, 455.0]",False,DOWN,True
0.01,1.0600000000000007,5.508072853088379,"[287.15000000000003, 263.40000000000003]","[287.15000000000003, 263.40000000000003]","[485.0, 460.0]",False,DOWN,True
0.01,1.0700000000000007,5.56123685836792,"[292.05, 268.05]","[292.05, 268.05]","[490.0, 465.0]",False,DOWN,True
0.01,1.0800000000000007,5.6133339405059814,"[297.0, 272.75]","[297.0, 272.75]","[495.0, 470.0]",False,DOWN,True
0.01,1.0900000000000007,5.665042877197266,"[302.0, 277.5]","[302.0, 277.5]","[500.0, 475.0]",False,DOWN,True
0.01,1.1000000000000008,5.719441890716553,"[307.0, 282.3]","[307.0, 282.3]","[500.0, 480.0]",False,DOWN,True
0.01,1.1100000000000008,5.772727727890015,"[312.0, 287.15000000000003]","[312.0, 287.15000000000003]","[500.0, 485.0]",False,DOWN,True
0.01,1.1200000000000008,5.82365083694458,"[317.0, 292.05]","[317.0, 292.05]","[500.0, 490.0]",False,DOWN,True
0.01,1.1300000000000008,5.879132986068726,"[322.0, 297.0]","[322.0, 297.0]","[500.0, 495.0]",False,DOWN,True
0.01,1.1400000000000008,5.932312726974487,"[327.0, 302.0]","[327.0, 302.0]","[500.0, 500.0]",False,DOWN,True
0.01,1.1500000000000008,5.9840898513793945,"[332.0, 307.0]","[332.0, 307.0]","[500.0, 500.0]",False,DOWN,True
0.01,1.1600000000000008,6.035853862762451,"[332.0, 307.0]","[332.0, 307.0]","[0.0, 0.0]",False,,True
0.01,1.1700000000000008,6.08635687828064,"[332.0, 307.0]","[332.0, 307.0]","[0.0, 0.0]",False,,True
0.01,1.1800000000000008,6.137710809707642,"[332.0, 307.0]","[332.0, 307.0]","[0.0, 0.0]",False,,True
