delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,key_pressed,success
0.01,0.0,0.006494998931884766,"[50.05000000000002, 50.05000000000001]","[50.05, 50.05]","[5.0, 5.0]",False,DOWN,True
0.01,0.01,0.06388592720031738,"[50.150000000000034, 50.150000000000034]","[50.15000000000002, 50.15000000000001]","[10.0, 10.0]",False,DOWN,True
0.01,0.02,0.12267708778381348,"[50.30000000000005, 50.300000000000054]","[50.30000000000003, 50.30000000000003]","[15.0, 15.0]",False,DOWN,True
0.01,0.03,0.18026185035705566,"[50.500000000000064, 50.50000000000008]","[50.50000000000005, 50.50000000000006]","[20.0, 20.0]",False,DOWN,True
0.01,0.04,0.23878192901611328,"[50.750000000000085, 50.70000000000011]","[50.750000000000064, 50.70000000000008]","[25.0, 20.0]",False,RIGHT,True
0.01,0.05,0.29695606231689453,"[50.7500000000001, 50.70000000000013]","[50.750000000000085, 50.70000000000011]","[0.0, 0.0]",False,,True
0.01,0.060000000000000005,0.35574793815612793,"[50.750000000000114, 50.70000000000015]","[50.7500000000001, 50.70000000000013]","[0.0, 0.0]",False,,True
0.01,0.07,0.41480517387390137,"[50.75000000000013, 50.70000000000017]","[50.750000000000114, 50.70000000000015]","[0.0, 0.0]",False,,True
0.01,0.08,0.4751272201538086,"[50.80000000000014, 50.700000000000195]","[50.800000000000125, 50.70000000000017]","[5.0, 0.0]",False,RIGHT,True
0.01,0.09,0.5335581302642822,"[50.900000000000155, 50.700000000000216]","[50.90000000000014, 50.700000000000195]","[10.0, 0.0]",False,RIGHT,True
0.01,0.09999999999999999,0.5926799774169922,"[51.050000000000175, 50.750000000000234]","[51.05000000000015, 50.75000000000021]","[15.0, 5.0]",False,DOWN,True
0.01,0.10999999999999999,0.6495230197906494,"[51.2500000000002, 50.850000000000264]","[51.25000000000018, 50.850000000000236]","[20.0, 10.0]",False,DOWN,True
0.01,0.11999999999999998,0.7050251960754395,"[51.50000000000021, 51.000000000000284]","[51.5000000000002, 51.00000000000026]","[25.0, 15.0]",False,DOWN,True
0.01,0.12999999999999998,0.7611138820648193,"[51.800000000000225, 51.20000000000031]","[51.80000000000021, 51.20000000000029]","[30.0, 20.0]",False,DOWN,True
0.01,0.13999999999999999,0.8177847862243652,"[52.15000000000024, 51.45000000000033]","[52.150000000000226, 51.45000000000031]","[35.0, 25.0]",False,DOWN,True
0.01,0.15,0.8741178512573242,"[52.55000000000025, 51.75000000000035]","[52.55000000000024, 51.75000000000033]","[40.0, 30.0]",False,DOWN,True
0.01,0.16,0.9312760829925537,"[53.00000000000028, 52.10000000000037]","[53.000000000000256, 52.10000000000035]","[45.0, 35.0]",False,DOWN,True
0.01,0.17,0.9883699417114258,"[53.5000000000003, 52.50000000000039]","[53.50000000000028, 52.50000000000037]","[50.0, 40.0]",False,DOWN,True
0.01,0.18000000000000002,1.0464189052581787,"[54.05000000000031, 52.950000000000415]","[54.050000000000296, 52.950000000000394]","[55.0, 45.0]",False,DOWN,True
