delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,key_pressed,success
0.01,0.0,0.007092952728271484,"[50.05000000000001, 50.00000000000002]","[50.05, 50.0]","[5.0, 0.0]",False,RIGHT,True
0.01,0.01,0.0642099380493164,"[50.15000000000003, 50.00000000000005]","[50.15000000000001, 50.00000000000002]","[10.0, 0.0]",False,RIGHT,True
0.01,0.02,0.12232303619384766,"[50.30000000000004, 50.00000000000008]","[50.300000000000026, 50.00000000000005]","[15.0, 0.0]",False,RIGHT,True
0.01,0.03,0.18092012405395508,"[50.50000000000005, 50.00000000000009]","[50.50000000000004, 50.00000000000008]","[20.0, 0.0]",False,RIGHT,True
0.01,0.04,0.2391340732574463,"[50.75000000000006, 50.000000000000114]","[50.75000000000005, 50.00000000000009]","[25.0, 0.0]",False,RIGHT,True
0.01,0.05,0.2974221706390381,"[50.750000000000064, 50.000000000000135]","[50.75000000000006, 50.000000000000114]","[0.0, 0.0]",False,,True
0.01,0.060000000000000005,0.3557288646697998,"[50.75000000000007, 50.000000000000156]","[50.750000000000064, 50.000000000000135]","[0.0, 0.0]",False,,True
0.01,0.07,0.41423487663269043,"[50.75000000000008, 50.00000000000018]","[50.75000000000007, 50.000000000000156]","[0.0, 0.0]",False,,True
0.01,0.08,0.4731311798095703,"[50.75000000000009, 50.0000000000002]","[50.75000000000008, 50.00000000000018]","[0.0, 0.0]",False,,True
0.01,0.09,0.5358881950378418,"[50.800000000000104, 50.050000000000225]","[50.80000000000009, 50.050000000000196]","[5.0, 5.0]",False,DOWN,True
0.01,0.09999999999999999,0.5935730934143066,"[50.90000000000012, 50.15000000000025]","[50.900000000000105, 50.150000000000226]","[10.0, 10.0]",False,DOWN,True
0.01,0.10999999999999999,0.6519920825958252,"[51.050000000000125, 50.300000000000274]","[51.05000000000012, 50.300000000000246]","[15.0, 15.0]",False,DOWN,True
0.01,0.11999999999999998,0.7107000350952148,"[51.250000000000135, 50.5000000000003]","[51.25000000000013, 50.50000000000028]","[20.0, 20.0]",False,DOWN,True
0.01,0.12999999999999998,0.7694680690765381,"[51.50000000000015, 50.75000000000033]","[51.500000000000135, 50.7500000000003]","[25.0, 25.0]",False,DOWN,True
0.01,0.13999999999999999,0.8282749652862549,"[51.80000000000016, 51.050000000000345]","[51.800000000000146, 51.050000000000324]","[30.0, 30.0]",False,DOWN,True
0.01,0.15,0.88692307472229,"[52.150000000000176, 51.400000000000375]","[52.15000000000016, 51.40000000000035]","[35.0, 35.0]",False,DOWN,True
0.01,0.16,0.9453151226043701,"[52.55000000000018, 51.800000000000395]","[52.550000000000175, 51.800000000000374]","[40.0, 40.0]",False,DOWN,True
0.01,0.17,1.0030341148376465,"[53.0000000000002, 52.250000000000426]","[53.000000000000185, 52.2500000000004]","[45.0, 45.0]",False,DOWN,True
0.01,0.18000000000000002,1.0638320446014404,"[53.50000000000021, 52.750000000000455]","[53.5000000000002, 52.750000000000426]","[50.0, 50.0]",False,DOWN,True
0.01,0.19000000000000003,1.1225831508636475,"[54.050000000000225, 53.30000000000048]","[54.05000000000021, 53.30000000000045]","[55.0, 55.0]",False,DOWN,True
0.01,0.20000000000000004,1.181631088256836,"[54.65000000000024, 53.9000000000005]","[54.650000000000226, 53.90000000000048]","[60.0, 60.0]",False,DOWN,True
0.01,0.21000000000000005,1.2414720058441162,"[55.30000000000025, 54.550000000000516]","[55.30000000000024, 54.5500000000005]","[65.0, 65.0]",False,DOWN,True
0.01,0.22000000000000006,1.300544023513794,"[56.00000000000027, 55.25000000000055]","[56.000000000000256, 55.25000000000052]","[70.0, 70.0]",False,DOWN,True
0.01,0.23000000000000007,1.3588931560516357,"[56.750000000000284, 56.000000000000576]","[56.75000000000027, 56.00000000000055]","[75.0, 75.0]",False,DOWN,True
0.01,0.24000000000000007,1.41782808303833,"[57.550000000000296, 56.800000000000594]","[57.55000000000028, 56.80000000000057]","[80.0, 80.0]",False,DOWN,True
0.01,0.25000000000000006,1.4776489734649658,"[58.40000000000031, 57.65000000000062]","[58.4000000000003, 57.650000000000595]","[85.0, 85.0]",False,DOWN,True
0.01,0.26000000000000006,1.5423150062561035,"[59.300000000000324, 58.55000000000064]","[59.30000000000031, 58.550000000000615]","[90.0, 90.0]",False,DOWN,True
0.01,0.2700000000000001,1.6003010272979736,"[60.25000000000034, 59.50000000000067]","[60.25000000000033, 59.50000000000064]","[95.0, 95.0]",False,DOWN,True
0.01,0.2800000000000001,1.659317970275879,"[61.250000000000355, 60.50000000000069]","[61.25000000000034, 60.50000000000067]","[100.0, 100.0]",False,DOWN,True
0.01,0.2900000000000001,1.718122959136963,"[62.25000000000037, 61.550000000000715]","[62.250000000000355, 61.550000000000686]","[100.0, 105.0]",False,DOWN,True
0.01,0.3000000000000001,1.7765851020812988,"[63.250000000000384, 62.65000000000074]","[63.25000000000037, 62.650000000000716]","[100.0, 110.0]",False,DOWN,True
0.01,0.3100000000000001,1.8352301120758057,"[64.2500000000004, 63.80000000000076]","[64.25000000000038, 63.800000000000736]","[100.0, 115.0]",False,DOWN,True
0.01,0.3200000000000001,1.8940370082855225,"[65.25000000000041, 65.00000000000078]","[65.2500000000004, 65.00000000000075]","[100.0, 120.0]",False,DOWN,True
0.01,0.3300000000000001,1.9550158977508545,"[66.25000000000043, 66.25000000000081]","[66.25000000000041, 66.25000000000078]","[100.0, 125.0]",False,DOWN,True
0.01,0.34000000000000014,2.012289047241211,"[67.25000000000044, 67.55000000000084]","[67.25000000000043, 67.55000000000081]","[100.0, 130.0]",False,DOWN,True
0.01,0.35000000000000014,2.07143497467041,"[68.25000000000045, 68.90000000000084]","[68.25000000000044, 68.90000000000083]","[100.0, 135.0]",False,DOWN,True
0.01,0.36000000000000015,2.1304099559783936,"[69.20000000000047, 70.30000000000088]","[69.20000000000046, 70.30000000000085]","[95.0, 140.0]",False,DOWN,True
0.01,0.37000000000000016,2.1874072551727295,"[70.10000000000049, 71.7500000000009]","[70.10000000000048, 71.75000000000088]","[90.0, 145.0]",False,DOWN,True
0.01,0.38000000000000017,2.2462809085845947,"[70.9500000000005, 73.25000000000091]","[70.95000000000049, 73.2500000000009]","[85.0, 150.0]",False,DOWN,True
