delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,key_pressed,success
0.01,0.4000000000000002,2.4432132244110107,"[79.75000000000074, 78.05000000000102]","[79.75000000000072, 78.05000000000099]","[170.0, 165.0]",False,DOWN,True
0.01,0.4100000000000002,2.5017621517181396,"[81.50000000000075, 79.75000000000104]","[81.50000000000074, 79.75000000000102]","[175.0, 170.0]",False,DOWN,True
0.01,0.4200000000000002,2.5600662231445312,"[83.30000000000076, 81.50000000000107]","[83.30000000000075, 81.50000000000104]","[180.0, 175.0]",False,DOWN,True
0.01,0.4300000000000002,2.6194350719451904,"[85.15000000000077, 83.30000000000109]","[85.15000000000076, 83.30000000000106]","[185.0, 180.0]",False,DOWN,True
0.01,0.4400000000000002,2.678683042526245,"[87.0500000000008, 85.15000000000111]","[87.05000000000078, 85.15000000000109]","[190.0, 185.0]",False,DOWN,True
0.01,0.45000000000000023,2.734621047973633,"[89.00000000000081, 87.05000000000115]","[89.0000000000008, 87.05000000000112]","[195.0, 190.0]",False,DOWN,True
0.01,0.46000000000000024,2.7917799949645996,"[91.00000000000082, 89.00000000000118]","[91.00000000000081, 89.00000000000115]","[200.0, 195.0]",False,DOWN,True
0.01,0.47000000000000025,2.8496389389038086,"[93.05000000000084, 91.0000000000012]","[93.05000000000082, 91.00000000000118]","[205.0, 200.0]",False,DOWN,True
0.01,0.48000000000000026,2.906749963760376,"[95.15000000000084, 93.05000000000122]","[95.15000000000083, 93.05000000000119]","[210.0, 205.0]",False,DOWN,True
0.01,0.49000000000000027,2.9654369354248047,"[97.27514161785427, 95.14868981434557]","[97.30000000000085, 95.15000000000121]","[215.0, 210.0]",False,DOWN,True
0.01,0.5000000000000002,3.024010181427002,"[99.23569225871319, 97.29285544455374]","[99.47514161785428, 97.29868981434558]","[220.0, 215.0]",False,DOWN,True
0.01,0.5100000000000002,3.083163022994995,"[101.06402810970329, 99.49555407121872]","[101.48569225871319, 99.49285544455374]","[225.0, 220.0]",False,DOWN,True
0.01,0.5200000000000002,3.144024133682251,"[102.79224067587259, 101.76830746734103]","[103.36402810970328, 101.74555407121872]","[230.0, 225.0]",False,DOWN,True
0.01,0.5300000000000002,3.2033181190490723,"[104.45246364828387, 104.12076425716448]","[105.14224067587259, 104.06830746734103]","[235.0, 230.0]",False,DOWN,True
0.01,0.5400000000000003,3.2617270946502686,"[106.07711825303613, 106.56027106401201]","[106.85246364828387, 106.47076425716448]","[240.0, 235.0]",False,DOWN,True
0.01,0.5500000000000003,3.3205578327178955,"[107.69904815732998, 109.09135252456733]","[108.52711825303614, 108.96027106401202]","[245.0, 240.0]",False,DOWN,True
0.01,0.5600000000000003,3.3827359676361084,"[109.35150841736345, 111.71510888019836]","[110.19904815732998, 111.54135252456733]","[250.0, 245.0]",False,DOWN,True
0.01,0.5700000000000003,3.440302848815918,"[111.06796798319485, 114.42855268877285]","[111.90150841736344, 114.21510888019836]","[255.0, 250.0]",False,DOWN,True
0.01,0.5800000000000003,3.4975969791412354,"[112.88168391431937, 117.22392344767873]","[113.66796798319484, 116.97855268877285]","[260.0, 255.0]",False,DOWN,True
0.01,0.5900000000000003,3.5560250282287598,"[114.82501032012398, 120.08804006790274]","[115.53168391431937, 119.82392344767872]","[265.0, 260.0]",False,DOWN,True
0.01,0.6000000000000003,3.6155450344085693,"[116.92841909163266, 123.00177431981304]","[117.52501032012398, 122.73804006790274]","[270.0, 265.0]",False,DOWN,True
0.01,0.6100000000000003,3.6738178730010986,"[119.21923541378672, 125.93974985015]","[119.67841909163266, 125.70177431981304]","[275.0, 270.0]",False,DOWN,True
0.01,0.6200000000000003,3.732653856277466,"[121.72013012715414, 128.87038532013014]","[122.01923541378672, 128.68974985015]","[280.0, 275.0]",False,DOWN,True
0.01,0.6300000000000003,3.7915542125701904,"[124.44746166983786, 131.75639912870565]","[124.57013012715413, 131.67038532013015]","[285.0, 280.0]",False,DOWN,True
0.01,0.6400000000000003,3.853192090988159,"[127.34746166983788, 134.60639912870568]","[127.34746166983787, 134.60639912870565]","[290.0, 285.0]",False,DOWN,True
0.01,0.6500000000000004,3.911687135696411,"[130.2974616698379, 137.5063991287057]","[130.29746166983787, 137.50639912870568]","[295.0, 290.0]",False,DOWN,True
0.01,0.6600000000000004,3.9706740379333496,"[133.2974616698379, 140.45639912870573]","[133.2974616698379, 140.4563991287057]","[300.0, 295.0]",False,DOWN,True
0.01,0.6700000000000004,4.030982971191406,"[136.3474616698379, 143.45639912870573]","[136.3474616698379, 143.45639912870573]","[305.0, 300.0]",False,DOWN,True
0.01,0.6800000000000004,4.088846921920776,"[139.44746166983796, 146.5063991287058]","[139.4474616698379, 146.50639912870574]","[310.0, 305.0]",False,DOWN,True
0.01,0.6900000000000004,4.147374868392944,"[142.59746166983794, 149.60639912870576]","[142.59746166983797, 149.6063991287058]","[315.0, 310.0]",False,DOWN,True
0.01,0.7000000000000004,4.206237077713013,"[145.79746166983784, 152.7563991287057]","[145.79746166983793, 152.75639912870577]","[320.0, 315.0]",False,DOWN,True
0.01,0.7100000000000004,4.264941215515137,"[149.04746166983804, 155.9563991287059]","[149.04746166983784, 155.9563991287057]","[325.0, 320.0]",False,DOWN,True
0.01,0.7200000000000004,4.323597192764282,"[152.34746166983675, 159.2063991287048]","[152.34746166983805, 159.2063991287059]","[330.0, 325.0]",False,DOWN,True
0.01,0.7300000000000004,4.381690979003906,"[155.6974616698521, 162.50639912871821]","[155.69746166983674, 162.5063991287048]","[335.0, 330.0]",False,DOWN,True
0.01,0.7400000000000004,4.440011024475098,"[159.09746166982828, 165.8563991286972]","[159.0974616698521, 165.8563991287182]","[340.0, 335.0]",False,DOWN,True
0.01,0.7500000000000004,4.499150037765503,"[162.54746166982827, 169.2563991286972]","[162.54746166982827, 169.2563991286972]","[345.0, 340.0]",False,DOWN,True
0.01,0.7600000000000005,4.558438062667847,"[166.04746166985805, 172.70639912872423]","[166.04746166982827, 172.7063991286972]","[350.0, 345.0]",False,DOWN,True
0.01,0.7700000000000005,4.616919040679932,"[169.59746166985678, 176.20639912872306]","[169.59746166985806, 176.20639912872423]","[355.0, 350.0]",False,DOWN,True
0.01,0.7800000000000005,4.675105094909668,"[173.15763253732558, 179.7171231785942]","[173.19746166985678, 179.75639912872307]","[360.0, 355.0]",False,DOWN,True
0.01,0.7900000000000005,4.7356040477752686,"[176.71746474767687, 183.22819056415022]","[176.8076325373256, 183.3171231785942]","[365.0, 360.0]",False,DOWN,True
0.01,0.8000000000000005,4.795057058334351,"[180.27696735125534, 186.73959178120774]","[180.41746474767686, 186.87819056415023]","[370.0, 365.0]",False,DOWN,True
0.01,0.8100000000000005,4.853792190551758,"[183.8361494850886, 190.25131815327077]","[184.02696735125534, 190.43959178120772]","[375.0, 370.0]",False,DOWN,True
0.01,0.8200000000000005,4.911175012588501,"[187.39501947372656, 193.76336090522526]","[187.63614948508862, 194.00131815327077]","[380.0, 375.0]",False,DOWN,True
0.01,0.8300000000000005,4.9706761837005615,"[190.95358550461432, 197.27571179281946]","[191.24501947372656, 197.56336090522527]","[385.0, 380.0]",False,DOWN,True
0.01,0.8400000000000005,5.035144090652466,"[194.51185544880911, 200.78836289143217]","[194.85358550461433, 201.12571179281946]","[390.0, 385.0]",False,DOWN,True
0.01,0.8500000000000005,5.09390115737915,"[198.0698368446636, 204.30130654778822]","[198.4618554488091, 204.68836289143218]","[395.0, 390.0]",False,DOWN,True
0.01,0.8600000000000005,5.152570962905884,"[201.62753692450863, 207.81453537610656]","[202.0698368446636, 208.2513065477882]","[400.0, 395.0]",False,DOWN,True
0.01,0.8700000000000006,5.211862087249756,"[205.18496264285068, 211.32804225761902]","[205.67753692450864, 211.81453537610656]","[405.0, 400.0]",False,DOWN,True
0.01,0.8800000000000006,5.272814035415649,"[208.7421207029082, 214.84182034019364]","[209.28496264285067, 215.37804225761903]","[410.0, 405.0]",False,DOWN,True
0.01,0.8900000000000006,5.330461025238037,"[212.2990175706646, 218.3558630272742]","[212.89212070290822, 218.94182034019363]","[415.0, 410.0]",False,DOWN,True
0.01,0.9000000000000006,5.389502048492432,"[215.85565948137446, 221.87016396087498]","[216.4990175706646, 222.50586302727422]","[420.0, 415.0]",False,DOWN,True
0.01,0.9100000000000006,5.449175119400024,"[219.41205244343706, 225.3847170033731]","[220.10565948137446, 226.07016396087496]","[425.0, 420.0]",False,DOWN,True
0.01,0.9200000000000006,5.507858037948608,"[222.96820224811975, 228.89951622641394]","[223.71205244343707, 229.6347170033731]","[430.0, 425.0]",False,DOWN,True
0.01,0.9300000000000006,5.567173004150391,"[226.52411447573405, 232.4145558975428]","[227.31820224811975, 233.19951622641395]","[435.0, 430.0]",False,DOWN,True
0.01,0.9400000000000006,5.627321004867554,"[230.07979449865866, 235.92983046488584]","[230.92411447573406, 236.7645558975428]","[440.0, 435.0]",False,DOWN,True
0.01,0.9500000000000006,5.6868109703063965,"[233.6352474851609, 239.44533454369775]","[234.52979449865865, 240.32983046488584]","[445.0, 440.0]",False,DOWN,True
0.01,0.9600000000000006,5.745057106018066,"[237.19047842589765, 242.96106292623193]","[238.1352474851609, 243.89533454369774]","[450.0, 445.0]",False,DOWN,True
0.01,0.9700000000000006,5.80399227142334,"[240.745492127156, 246.4770105598088]","[241.74047842589766, 247.46106292623193]","[455.0, 450.0]",False,DOWN,True
0.01,0.9800000000000006,5.863875865936279,"[244.3002932429811, 249.99317256377213]","[245.345492127156, 251.02701055980882]","[460.0, 455.0]",False,DOWN,True
0.01,0.9900000000000007,5.922339200973511,"[247.85488639159354, 253.5095443290534]","[248.9502932429811, 254.59317256377213]","[465.0, 460.0]",False,DOWN,True
0.01,1.0000000000000007,5.98408317565918,"[251.4092761239358, 257.02612147599535]","[252.55488639159353, 258.1595443290534]","[470.0, 465.0]",False,DOWN,True
0.01,1.0100000000000007,6.043344020843506,"[254.9634668262047, 260.5428997438816]","[256.1592761239358, 261.72612147599534]","[475.0, 470.0]",False,DOWN,True
0.01,1.0200000000000007,6.102920055389404,"[258.5174626187694, 264.0598748806563]","[259.7634668262047, 265.2928997438816]","[480.0, 475.0]",False,DOWN,True
0.01,1.0300000000000007,6.161861896514893,"[262.071267401776, 267.57704268155896]","[263.3674626187694, 268.8598748806563]","[485.0, 480.0]",False,DOWN,True
0.01,1.0400000000000007,6.220754146575928,"[265.6248848943088, 271.09439900072795]","[266.971267401776, 272.427042681559]","[490.0, 485.0]",False,DOWN,True
0.01,1.0500000000000007,6.2806549072265625,"[269.17831932178547, 274.611940424149]","[270.5748848943088, 275.9943990007279]","[495.0, 490.0]",False,DOWN,True
0.01,1.0600000000000007,6.339351177215576,"[272.7315770026152, 278.12966583795617]","[274.17831932178547, 279.561940424149]","[500.0, 495.0]",False,DOWN,True
0.01,1.0700000000000007,6.398738145828247,"[276.2671013677984, 281.66518859083794]","[277.7315770026152, 283.12966583795617]","[500.0, 500.0]",False,DOWN,True
0.01,1.0800000000000007,6.458166122436523,"[279.80264820597534, 285.20073539858845]","[281.2671013677984, 286.66518859083794]","[500.0, 500.0]",False,DOWN,True
0.01,1.0900000000000007,6.517467021942139,"[283.3381810093243, 288.73626821997334]","[284.80264820597534, 290.20073539858845]","[500.0, 500.0]",False,DOWN,True
0.01,1.1000000000000008,6.576203107833862,"[286.87367839835616, 292.2718609749033]","[288.3381810093243, 293.73626821997334]","[500.0, 500.0]",False,DOWN,True
0.01,1.1100000000000008,6.635639190673828,"[290.40921118751316, 295.8073937527817]","[291.87367839835616, 297.2718609749033]","[500.0, 500.0]",False,DOWN,True
0.01,1.1200000000000008,6.694662094116211,"[293.94474353130397, 299.3429247905654]","[295.40921118751316, 300.8073937527817]","[500.0, 500.0]",False,DOWN,True
