timestamp,particle_position,user_goal,velocity,collision
0.00039196014404296875,"[51.380195292239804, 50.55328919791073]","[54.60065097413267, 51.844297326369094]","[138.0195292239801, 55.328919791072835]",False
0.050687313079833984,"[53.61130727422382, 51.49638810635197]","[58.81723523218651, 53.6969522260482]","[223.1111981984012, 94.30989084412403]",False
0.10065937042236328,"[56.217532686660704, 53.2466658398512]","[62.298725315680095, 57.33064721801606]","[260.62254124368826, 175.02777334992265]",False
0.15067481994628906,"[59.33928404232944, 54.98859660534704]","[66.62337053888982, 59.05310172483733]","[312.17513556687334, 174.19307654958408]",False
0.20073175430297852,"[62.54293560083996, 57.34318113431031]","[70.01812257069784, 62.83721170189129]","[320.36515585105207, 235.45845289632751]",False
0.25070762634277344,"[66.08753002611256, 59.514732614213386]","[74.35825035174864, 64.58168606732055]","[354.4594425272603, 217.155147990307]",False
0.30066537857055664,"[69.535196842763, 62.21919467306975]","[77.57975274828067, 68.52960614373461]","[344.7666816650433, 270.44620588563674]",False
0.3516578674316406,"[72.43675551960388, 65.41365914008756]","[79.20705909889925, 72.86740956312912]","[290.1558676840875, 319.4464467017809]",False
0.4016542434692383,"[75.48605608061327, 68.78871494666102]","[82.6010907229685, 76.66384516199906]","[304.9300561009385, 337.5055806573451]",False
0.4516716003417969,"[77.91653238328163, 72.59548392795709]","[83.58764375617451, 81.47794488431458]","[243.04763026683744, 380.6768981296069]",False
0.5016319751739502,"[80.07832476758455, 76.54281516295707]","[85.12250699762467, 85.75325471129037]","[216.17923843029104, 394.7331234999983]",False
0.5517101287841797,"[82.50920734627007, 80.51093778117784]","[88.18126669653631, 89.76989055702632]","[243.08825786855294, 396.8122618220774]",False
0.6016221046447754,"[84.58895651430028, 84.62654603013868]","[89.44170457303744, 94.22963194438064]","[207.97491680302102, 411.56082489608394]",False
0.6516330242156982,"[87.31610151133438, 88.3450913482224]","[93.6794398377473, 97.02169709041772]","[272.7144997034105, 371.854531808371]",False
0.7016494274139404,"[90.45200299206265, 91.35162724454152]","[97.76910644709525, 98.36687766928613]","[313.5901480728262, 300.65358963191187]",False
0.7515981197357178,"[93.93694842196213, 94.27000478455786]","[102.06848775839424, 101.0795523779293]","[348.49454298994783, 291.8377540016336]",False
0.8016538619995117,"[97.87606462921981, 96.2097629553525]","[107.06733577948773, 100.73586535387335]","[393.9116207257682, 193.97581707946486]",False
0.8506336212158203,"[101.9587157954275, 97.85881873138345]","[111.48490184991208, 101.70661554212231]","[408.26511662076797, 164.90557760309414]",False
0.9006173610687256,"[105.94561383106065, 99.78970055604057]","[115.24837591420467, 104.29509148024052]","[398.6898035633153, 193.08818246571192]",False
0.9507009983062744,"[109.78163117665491, 101.61651768846843]","[118.73233831637485, 105.8790909974668]","[383.60173455942584, 182.68171324278697]",False
1.0006349086761475,"[113.14027650389573, 104.28841508277345]","[120.977115600791, 110.52284233615185]","[335.8645327240825, 267.1897394305026]",False
1.0506839752197266,"[116.33879766912119, 107.38792493913152]","[123.80201372131391, 114.620114603967]","[319.8521165225453, 309.95098563580626]",False
