delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,key_pressed,success
0.01,0.0,9.894371032714844e-05,"[50.05, 50.0]","[50.05, 50.0]","[5.0, 0.0]",False,RIGHT,True
0.01,0.01,0.049952030181884766,"[50.15, 50.0]","[50.15, 50.0]","[10.0, 0.0]",False,RIGHT,True
0.01,0.02,0.09993982315063477,"[50.3, 50.0]","[50.3, 50.0]","[15.0, 0.0]",False,RIGHT,True
0.01,0.03,0.1500258445739746,"[50.5, 50.0]","[50.5, 50.0]","[20.0, 0.0]",False,RIGHT,True
0.01,0.04,0.20108485221862793,"[50.75, 50.0]","[50.75, 50.0]","[25.0, 0.0]",False,RIGHT,True
0.01,0.05,0.2509579658508301,"[51.05, 50.0]","[51.05, 50.0]","[30.0, 0.0]",False,RIGHT,True
0.01,0.060000000000000005,0.30095386505126953,"[51.4, 50.0]","[51.4, 50.0]","[35.0, 0.0]",False,RIGHT,True
0.01,0.07,0.3509798049926758,"[51.8, 50.0]","[51.8, 50.0]","[40.0, 0.0]",False,RIGHT,True
0.01,0.08,0.40094804763793945,"[52.25, 50.0]","[52.25, 50.0]","[45.0, 0.0]",False,RIGHT,True
0.01,0.09,0.4548158645629883,"[52.75, 50.0]","[52.75, 50.0]","[50.0, 0.0]",False,RIGHT,True
0.01,0.09999999999999999,0.5049958229064941,"[53.3, 50.0]","[53.3, 50.0]","[55.0, 0.0]",False,RIGHT,True
0.01,0.10999999999999999,0.5561079978942871,"[53.9, 50.05]","[53.9, 50.05]","[60.0, 5.0]",False,DOWN,True
0.01,0.11999999999999998,0.6070127487182617,"[54.55, 50.15]","[54.55, 50.15]","[65.0, 10.0]",False,DOWN,True
0.01,0.12999999999999998,0.6581740379333496,"[55.25, 50.3]","[55.25, 50.3]","[70.0, 15.0]",False,DOWN,True
0.01,0.13999999999999999,0.7091541290283203,"[56.0, 50.5]","[56.0, 50.5]","[75.0, 20.0]",False,DOWN,True
0.01,0.15,0.7600698471069336,"[56.8, 50.75]","[56.8, 50.75]","[80.0, 25.0]",False,DOWN,True
0.01,0.16,0.8118431568145752,"[57.65, 51.05]","[57.65, 51.05]","[85.0, 30.0]",False,DOWN,True
0.01,0.17,0.8632078170776367,"[58.55, 51.4]","[58.55, 51.4]","[90.0, 35.0]",False,DOWN,True
0.01,0.18000000000000002,0.91426682472229,"[59.5, 51.8]","[59.5, 51.8]","[95.0, 40.0]",False,DOWN,True
0.01,0.19000000000000003,0.9651849269866943,"[60.5, 52.25]","[60.5, 52.25]","[100.0, 45.0]",False,DOWN,True
0.01,0.20000000000000004,1.0165200233459473,"[61.55, 52.75]","[61.55, 52.75]","[105.0, 50.0]",False,DOWN,True
0.01,0.21000000000000005,1.0714340209960938,"[62.65, 53.3]","[62.65, 53.3]","[110.0, 55.0]",False,DOWN,True
0.01,0.22000000000000006,1.122128963470459,"[63.8, 53.9]","[63.8, 53.9]","[115.0, 60.0]",False,DOWN,True
0.01,0.23000000000000007,1.1760530471801758,"[65.0, 54.55]","[65.0, 54.55]","[120.0, 65.0]",False,DOWN,True
0.01,0.24000000000000007,1.2295968532562256,"[66.25, 55.25]","[66.25, 55.25]","[125.0, 70.0]",False,DOWN,True
0.01,0.25000000000000006,1.281217098236084,"[67.55, 56.0]","[67.55, 56.0]","[130.0, 75.0]",False,DOWN,True
0.01,0.26000000000000006,1.3349571228027344,"[68.89999999999999, 56.8]","[68.89999999999999, 56.8]","[135.0, 80.0]",False,DOWN,True
0.01,0.2700000000000001,1.3862628936767578,"[70.3, 57.65]","[70.3, 57.65]","[140.0, 85.0]",False,DOWN,True
0.01,0.2800000000000001,1.4407799243927002,"[71.75, 58.55]","[71.75, 58.55]","[145.0, 90.0]",False,DOWN,True
0.01,0.2900000000000001,1.4928860664367676,"[73.25, 59.5]","[73.25, 59.5]","[150.0, 95.0]",False,DOWN,True
0.01,0.3000000000000001,1.544010877609253,"[74.8, 60.5]","[74.8, 60.5]","[155.0, 100.0]",False,DOWN,True
0.01,0.3100000000000001,1.5973858833312988,"[76.39999999999999, 61.55]","[76.39999999999999, 61.55]","[160.0, 105.0]",False,DOWN,True
0.01,0.3200000000000001,1.6505720615386963,"[78.05, 62.65]","[78.05, 62.65]","[165.0, 110.0]",False,DOWN,True
0.01,0.3300000000000001,1.7024269104003906,"[79.75, 63.8]","[79.75, 63.8]","[170.0, 115.0]",False,DOWN,True
0.01,0.34000000000000014,1.754584789276123,"[81.5, 65.0]","[81.5, 65.0]","[175.0, 120.0]",False,DOWN,True
0.01,0.35000000000000014,1.8051059246063232,"[83.3, 66.25]","[83.3, 66.25]","[180.0, 125.0]",False,DOWN,True
0.01,0.36000000000000015,1.8586170673370361,"[85.14999999999999, 67.55]","[85.14999999999999, 67.55]","[185.0, 130.0]",False,DOWN,True
0.01,0.37000000000000016,1.9121148586273193,"[87.05, 68.89999999999999]","[87.05, 68.89999999999999]","[190.0, 135.0]",False,DOWN,True
0.01,0.38000000000000017,1.9631829261779785,"[89.0, 70.3]","[89.0, 70.3]","[195.0, 140.0]",False,DOWN,True
0.01,0.3900000000000002,2.0183069705963135,"[91.0, 71.75]","[91.0, 71.75]","[200.0, 145.0]",False,DOWN,True
0.01,0.4000000000000002,2.0718369483947754,"[93.05, 73.25]","[93.05, 73.25]","[205.0, 150.0]",False,DOWN,True
