delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,key_pressed,success
0.01,0.0,0.00022292137145996094,"[50.05, 49.95]","[50.05, 49.95]","[5.0, -5.0]",False,UP,True
0.01,0.01,0.05184578895568848,"[50.15, 49.85]","[50.15, 49.85]","[10.0, -10.0]",False,UP,True
0.01,0.02,0.10506606101989746,"[50.25, 49.7]","[50.25, 49.7]","[10.0, -15.0]",False,UP,True
0.01,0.03,0.15660691261291504,"[50.35, 49.5]","[50.35, 49.5]","[10.0, -20.0]",False,UP,True
0.01,0.04,0.2086029052734375,"[50.35, 49.5]","[50.35, 49.5]","[0.0, -0.0]",False,,True
0.01,0.05,0.2598879337310791,"[50.35, 49.5]","[50.35, 49.5]","[0.0, -0.0]",False,,True
0.01,0.060000000000000005,0.3119199275970459,"[50.35, 49.5]","[50.35, 49.5]","[0.0, -0.0]",False,,True
0.01,0.07,0.36362481117248535,"[50.35, 49.5]","[50.35, 49.5]","[0.0, -0.0]",False,,True
0.01,0.08,0.422468900680542,"[50.4, 49.5]","[50.4, 49.5]","[5.0, -0.0]",False,RIGHT,True
0.01,0.09,0.478024959564209,"[50.5, 49.55]","[50.5, 49.55]","[10.0, 5.0]",False,DOWN,True
0.01,0.09999999999999999,0.5298879146575928,"[50.65, 49.65]","[50.65, 49.65]","[15.0, 10.0]",False,DOWN,True
0.01,0.10999999999999999,0.5815029144287109,"[50.85, 49.8]","[50.85, 49.8]","[20.0, 15.0]",False,DOWN,True
0.01,0.11999999999999998,0.634375810623169,"[51.1, 50.0]","[51.1, 50.0]","[25.0, 20.0]",False,DOWN,True
0.01,0.12999999999999998,0.6871387958526611,"[51.4, 50.25]","[51.4, 50.25]","[30.0, 25.0]",False,DOWN,True
0.01,0.13999999999999999,0.7403779029846191,"[51.75, 50.55]","[51.75, 50.55]","[35.0, 30.0]",False,DOWN,True
0.01,0.15,0.7923808097839355,"[52.15, 50.9]","[52.15, 50.9]","[40.0, 35.0]",False,DOWN,True
0.01,0.16,0.8436429500579834,"[52.6, 51.3]","[52.6, 51.3]","[45.0, 40.0]",False,DOWN,True
0.01,0.17,0.895068883895874,"[53.1, 51.75]","[53.1, 51.75]","[50.0, 45.0]",False,DOWN,True
0.01,0.18000000000000002,0.9503238201141357,"[53.65, 52.25]","[53.65, 52.25]","[55.0, 50.0]",False,DOWN,True
