delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,key_pressed,success
0.01,0.0,0.040101051330566406,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.01,0.09132003784179688,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.02,0.14293909072875977,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.03,0.19566702842712402,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.04,0.2462770938873291,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.05,0.32369208335876465,"[50.05, 50.0]","[50.05, 50.0]","[5.0, 0.0]",False,RIGHT,True
0.01,0.060000000000000005,0.3744370937347412,"[50.15, 50.0]","[50.15, 50.0]","[10.0, 0.0]",False,RIGHT,True
0.01,0.07,0.42598509788513184,"[50.3, 50.05]","[50.3, 50.05]","[15.0, 5.0]",False,DOWN,True
0.01,0.08,0.47614216804504395,"[50.5, 50.15]","[50.5, 50.15]","[20.0, 10.0]",False,DOWN,True
0.01,0.09,0.5273280143737793,"[50.75, 50.3]","[50.75, 50.3]","[25.0, 15.0]",False,DOWN,True
0.01,0.09999999999999999,0.5783491134643555,"[51.05, 50.5]","[51.05, 50.5]","[30.0, 20.0]",False,DOWN,True
0.01,0.10999999999999999,0.6291849613189697,"[51.4, 50.75]","[51.4, 50.75]","[35.0, 25.0]",False,DOWN,True
0.01,0.11999999999999998,0.6804549694061279,"[51.8, 51.05]","[51.8, 51.05]","[40.0, 30.0]",False,DOWN,True
0.01,0.12999999999999998,0.7314090728759766,"[52.25, 51.4]","[52.25, 51.4]","[45.0, 35.0]",False,DOWN,True
0.01,0.13999999999999999,0.7822451591491699,"[52.75, 51.8]","[52.75, 51.8]","[50.0, 40.0]",False,DOWN,True
0.01,0.15,0.8330240249633789,"[53.3, 52.25]","[53.3, 52.25]","[55.0, 45.0]",False,DOWN,True
0.01,0.16,0.8832812309265137,"[53.9, 52.75]","[53.9, 52.75]","[60.0, 50.0]",False,DOWN,True
0.01,0.17,0.9374411106109619,"[54.55, 53.3]","[54.55, 53.3]","[65.0, 55.0]",False,DOWN,True
0.01,0.18000000000000002,0.9883902072906494,"[55.25, 53.9]","[55.25, 53.9]","[70.0, 60.0]",False,DOWN,True
0.01,0.19000000000000003,1.039844036102295,"[56.0, 54.55]","[56.0, 54.55]","[75.0, 65.0]",False,DOWN,True
0.01,0.20000000000000004,1.0927989482879639,"[56.8, 55.25]","[56.8, 55.25]","[80.0, 70.0]",False,DOWN,True
0.01,0.21000000000000005,1.1446959972381592,"[57.65, 56.0]","[57.65, 56.0]","[85.0, 75.0]",False,DOWN,True
0.01,0.22000000000000006,1.1985020637512207,"[58.55, 56.8]","[58.55, 56.8]","[90.0, 80.0]",False,DOWN,True
0.01,0.23000000000000007,1.2492101192474365,"[59.5, 57.65]","[59.5, 57.65]","[95.0, 85.0]",False,DOWN,True
0.01,0.24000000000000007,1.3028290271759033,"[60.5, 58.55]","[60.5, 58.55]","[100.0, 90.0]",False,DOWN,True
0.01,0.25000000000000006,1.354058027267456,"[61.55, 59.5]","[61.55, 59.5]","[105.0, 95.0]",False,DOWN,True
0.01,0.26000000000000006,1.406247854232788,"[62.65, 60.5]","[62.65, 60.5]","[110.0, 100.0]",False,DOWN,True
0.01,0.2700000000000001,1.4582898616790771,"[63.8, 61.55]","[63.8, 61.55]","[115.0, 105.0]",False,DOWN,True
0.01,0.2800000000000001,1.511897087097168,"[65.0, 62.65]","[65.0, 62.65]","[120.0, 110.0]",False,DOWN,True
0.01,0.2900000000000001,1.5632069110870361,"[66.25, 63.8]","[66.25, 63.8]","[125.0, 115.0]",False,DOWN,True
0.01,0.3000000000000001,1.615342140197754,"[67.55, 65.0]","[67.55, 65.0]","[130.0, 120.0]",False,DOWN,True
0.01,0.3100000000000001,1.6662049293518066,"[68.89999999999999, 66.25]","[68.89999999999999, 66.25]","[135.0, 125.0]",False,DOWN,True
0.01,0.3200000000000001,1.719506025314331,"[70.3, 67.55]","[70.3, 67.55]","[140.0, 130.0]",False,DOWN,True
0.01,0.3300000000000001,1.7723209857940674,"[71.75, 68.89999999999999]","[71.75, 68.89999999999999]","[145.0, 135.0]",False,DOWN,True
0.01,0.34000000000000014,1.8232288360595703,"[73.25, 70.3]","[73.25, 70.3]","[150.0, 140.0]",False,DOWN,True
0.01,0.35000000000000014,1.8784911632537842,"[74.8, 71.75]","[74.8, 71.75]","[155.0, 145.0]",False,DOWN,True
0.01,0.36000000000000015,1.9320828914642334,"[76.39999999999999, 73.25]","[76.39999999999999, 73.25]","[160.0, 150.0]",False,DOWN,True
0.01,0.37000000000000016,1.9835929870605469,"[78.05, 74.8]","[78.05, 74.8]","[165.0, 155.0]",False,DOWN,True
0.01,0.38000000000000017,2.036597967147827,"[79.75, 76.39999999999999]","[79.75, 76.39999999999999]","[170.0, 160.0]",False,DOWN,True
0.01,0.3900000000000002,2.087327003479004,"[81.5, 78.05]","[81.5, 78.05]","[175.0, 165.0]",False,DOWN,True
0.01,0.4000000000000002,2.140181064605713,"[83.3, 79.75]","[83.3, 79.75]","[180.0, 170.0]",False,DOWN,True
0.01,0.4100000000000002,2.1948060989379883,"[85.14999999999999, 81.5]","[85.14999999999999, 81.5]","[185.0, 175.0]",False,DOWN,True
0.01,0.4200000000000002,2.2473819255828857,"[87.05, 83.3]","[87.05, 83.3]","[190.0, 180.0]",False,DOWN,True
0.01,0.4300000000000002,2.3023509979248047,"[89.0, 85.14999999999999]","[89.0, 85.14999999999999]","[195.0, 185.0]",False,DOWN,True
0.01,0.4400000000000002,2.356074094772339,"[91.0, 87.05]","[91.0, 87.05]","[200.0, 190.0]",False,DOWN,True
0.01,0.45000000000000023,2.4076790809631348,"[93.05, 89.0]","[93.05, 89.0]","[205.0, 195.0]",False,DOWN,True
0.01,0.46000000000000024,2.4616639614105225,"[95.14999999999999, 91.0]","[95.14999999999999, 91.0]","[210.0, 200.0]",False,DOWN,True
0.01,0.47000000000000025,2.5179572105407715,"[97.3, 93.05]","[97.3, 93.05]","[215.0, 205.0]",False,DOWN,True
0.01,0.48000000000000026,2.569812059402466,"[99.5, 95.14999999999999]","[99.5, 95.14999999999999]","[220.0, 210.0]",False,DOWN,True
0.01,0.49000000000000027,2.6234538555145264,"[101.75, 97.3]","[101.75, 97.3]","[225.0, 215.0]",False,DOWN,True
0.01,0.5000000000000002,2.6751909255981445,"[104.05, 99.5]","[104.05, 99.5]","[230.0, 220.0]",False,DOWN,True
0.01,0.5100000000000002,2.7274701595306396,"[106.39999999999999, 101.75]","[106.39999999999999, 101.75]","[235.0, 225.0]",False,DOWN,True
0.01,0.5200000000000002,2.7808520793914795,"[108.8, 104.05]","[108.8, 104.05]","[240.0, 230.0]",False,DOWN,True
0.01,0.5300000000000002,2.8339309692382812,"[109.07641619402473, 106.66691867084089]","[111.25, 106.39999999999999]","[245.0, 235.0]",False,DOWN,True
0.01,0.5400000000000003,2.8859429359436035,"[109.49820798847314, 109.41662004241368]","[111.57641619402473, 109.06691867084089]","[250.0, 240.0]",False,DOWN,True
0.01,0.5500000000000003,2.938302993774414,"[110.0855943677807, 112.29251778032643]","[112.04820798847314, 111.86662004241369]","[255.0, 245.0]",False,DOWN,True
0.01,0.5600000000000003,2.989185094833374,"[110.85944367354367, 115.28453502189997]","[112.6855943677807, 114.79251778032643]","[260.0, 250.0]",False,DOWN,True
0.01,0.5700000000000003,3.0423312187194824,"[111.84069897033157, 118.3786425392066]","[113.50944367354367, 117.83453502189997]","[265.0, 255.0]",False,DOWN,True
0.01,0.5800000000000003,3.0931830406188965,"[113.0496362448606, 121.55647856026255]","[114.54069897033158, 120.97864253920659]","[270.0, 260.0]",False,DOWN,True
0.01,0.5900000000000003,3.149538040161133,"[114.5049582206725, 124.79510621085163]","[115.7996362448606, 124.20647856026255]","[275.0, 265.0]",False,DOWN,True
0.01,0.6000000000000003,3.2013890743255615,"[116.22274511840246, 128.06697060845477]","[117.3049582206725, 127.49510621085163]","[280.0, 270.0]",False,DOWN,True
0.01,0.6100000000000003,3.2536330223083496,"[118.21530687616955, 131.34011748118323]","[119.07274511840245, 130.81697060845477]","[285.0, 275.0]",False,DOWN,True
0.01,0.6200000000000003,3.3088371753692627,"[121.11530687616956, 134.14011748118324]","[121.11530687616956, 134.14011748118324]","[290.0, 280.0]",False,DOWN,True
0.01,0.6300000000000003,3.3719940185546875,"[123.64789775751727, 137.32652205185065]","[124.06530687616956, 136.99011748118323]","[295.0, 285.0]",False,DOWN,True
0.01,0.6400000000000003,3.423409938812256,"[126.4629048165778, 140.39772927499268]","[126.64789775751727, 140.22652205185065]","[300.0, 290.0]",False,DOWN,True
0.01,0.6500000000000004,3.4768431186676025,"[129.51290481657782, 143.34772927499267]","[129.51290481657782, 143.34772927499267]","[305.0, 295.0]",False,DOWN,True
0.01,0.6600000000000004,3.5390148162841797,"[132.6129048165778, 146.34772927499267]","[132.6129048165778, 146.34772927499267]","[310.0, 300.0]",False,DOWN,True
0.01,0.6700000000000004,3.5891928672790527,"[135.76290481657782, 149.39772927499268]","[135.76290481657782, 149.39772927499268]","[315.0, 305.0]",False,DOWN,True
0.01,0.6800000000000004,3.6416308879852295,"[138.9629048165778, 152.49772927499268]","[138.9629048165778, 152.49772927499268]","[320.0, 310.0]",False,DOWN,True
0.01,0.6900000000000004,3.693911075592041,"[142.2129048165778, 155.64772927499268]","[142.2129048165778, 155.64772927499268]","[325.0, 315.0]",False,DOWN,True
0.01,0.7000000000000004,3.7452762126922607,"[145.51290481657782, 158.84772927499267]","[145.51290481657782, 158.84772927499267]","[330.0, 320.0]",False,DOWN,True
0.01,0.7100000000000004,3.7988531589508057,"[148.8629048165778, 162.09772927499267]","[148.8629048165778, 162.09772927499267]","[335.0, 325.0]",False,DOWN,True
0.01,0.7200000000000004,3.850695848464966,"[152.26290481657782, 165.39772927499268]","[152.26290481657782, 165.39772927499268]","[340.0, 330.0]",False,DOWN,True
0.01,0.7300000000000004,3.902489185333252,"[155.7129048165778, 168.74772927499268]","[155.7129048165778, 168.74772927499268]","[345.0, 335.0]",False,DOWN,True
0.01,0.7400000000000004,3.95740008354187,"[159.2129048165778, 172.14772927499268]","[159.2129048165778, 172.14772927499268]","[350.0, 340.0]",False,DOWN,True
0.01,0.7500000000000004,4.0081470012664795,"[162.76290481657782, 175.59772927499267]","[162.76290481657782, 175.59772927499267]","[355.0, 345.0]",False,DOWN,True
0.01,0.7600000000000005,4.0618932247161865,"[166.3629048165778, 179.09772927499267]","[166.3629048165778, 179.09772927499267]","[360.0, 350.0]",False,DOWN,True
0.01,0.7700000000000005,4.114162921905518,"[170.01290481657782, 182.64772927499268]","[170.01290481657782, 182.64772927499268]","[365.0, 355.0]",False,DOWN,True
0.01,0.7800000000000005,4.165334939956665,"[173.7129048165778, 186.24772927499268]","[173.7129048165778, 186.24772927499268]","[370.0, 360.0]",False,DOWN,True
0.01,0.7900000000000005,4.2172441482543945,"[177.4629048165778, 189.89772927499268]","[177.4629048165778, 189.89772927499268]","[375.0, 365.0]",False,DOWN,True
0.01,0.8000000000000005,4.269935131072998,"[181.26290481657782, 193.59772927499267]","[181.26290481657782, 193.59772927499267]","[380.0, 370.0]",False,DOWN,True
0.01,0.8100000000000005,4.3218889236450195,"[185.1129048165778, 197.34772927499267]","[185.1129048165778, 197.34772927499267]","[385.0, 375.0]",False,DOWN,True
0.01,0.8200000000000005,4.375158071517944,"[189.01290481657782, 201.14772927499268]","[189.01290481657782, 201.14772927499268]","[390.0, 380.0]",False,DOWN,True
