timestamp,particle_position,user_goal,velocity,collision
0.549436092376709,"[50.0, 50.0]","[50, 50]","[0.0, 0.0]",False
0.6017661094665527,"[51.41421356237309, 51.41421356237309]","[60, 60]","[1.414213562373095, 1.414213562373095]",False
0.6522212028503418,"[52.828427124746185, 52.828427124746185]","[60, 60]","[1.414213562373095, 1.414213562373095]",False
0.7037642002105713,"[54.24264068711928, 54.24264068711928]","[60, 60]","[1.4142135623730951, 1.4142135623730951]",False
0.7559821605682373,"[55.65685424949237, 55.65685424949237]","[60, 60]","[1.4142135623730951, 1.4142135623730951]",False
0.8077349662780762,"[57.07106781186546, 57.07106781186546]","[60, 60]","[1.4142135623730951, 1.4142135623730951]",False
0.859187126159668,"[57.07106781186546, 57.07106781186546]","[60, 60]","[2.9289321881345387, 2.9289321881345387]",False
0.9109981060028076,"[58.485281374238554, 58.485281374238554]","[70, 70]","[1.4142135623730951, 1.4142135623730951]",False
0.9628081321716309,"[59.899494936611646, 59.899494936611646]","[70, 70]","[1.4142135623730951, 1.4142135623730951]",False
1.014449119567871,"[61.31370849898474, 61.31370849898474]","[70, 70]","[1.4142135623730951, 1.4142135623730951]",False
1.0656943321228027,"[62.72792206135783, 62.72792206135783]","[70, 70]","[1.4142135623730951, 1.4142135623730951]",False
1.1163959503173828,"[64.14213562373092, 64.14213562373092]","[70, 70]","[1.4142135623730951, 1.4142135623730951]",False
1.167450189590454,"[65.55634918610401, 65.55634918610401]","[70, 70]","[1.414213562373095, 1.414213562373095]",False
1.2193379402160645,"[66.97056274847711, 66.97056274847711]","[70, 70]","[1.414213562373095, 1.414213562373095]",False
1.2729740142822266,"[66.97056274847711, 66.97056274847711]","[70, 70]","[3.029437251522893, 3.029437251522893]",False
1.3247711658477783,"[68.3847763108502, 68.3847763108502]","[80, 80]","[1.414213562373095, 1.414213562373095]",False
1.3765201568603516,"[69.79898987322329, 69.79898987322329]","[80, 80]","[1.4142135623730951, 1.4142135623730951]",False
1.4277312755584717,"[71.21320343559638, 71.21320343559638]","[80, 80]","[1.4142135623730951, 1.4142135623730951]",False
1.4785420894622803,"[72.62741699796948, 72.62741699796948]","[80, 80]","[1.4142135623730951, 1.4142135623730951]",False
1.5307722091674805,"[74.04163056034257, 74.04163056034257]","[80, 80]","[1.414213562373095, 1.414213562373095]",False
1.5823211669921875,"[75.45584412271566, 75.45584412271566]","[80, 80]","[1.414213562373095, 1.414213562373095]",False
1.6348011493682861,"[76.87005768508875, 76.87005768508875]","[80, 80]","[1.4142135623730951, 1.4142135623730951]",False
1.687530279159546,"[76.87005768508875, 76.87005768508875]","[80, 80]","[3.129942314911247, 3.129942314911247]",False
1.7394161224365234,"[78.28427124746185, 78.28427124746185]","[90, 90]","[1.414213562373095, 1.414213562373095]",False
1.7905499935150146,"[79.69848480983494, 79.69848480983494]","[90, 90]","[1.414213562373095, 1.414213562373095]",False
1.8426611423492432,"[81.11269837220803, 81.11269837220803]","[90, 90]","[1.4142135623730951, 1.4142135623730951]",False
1.8944320678710938,"[82.52691193458112, 82.52691193458112]","[90, 90]","[1.414213562373095, 1.414213562373095]",False
1.9457120895385742,"[83.94112549695421, 83.94112549695421]","[90, 90]","[1.414213562373095, 1.414213562373095]",False
1.9977772235870361,"[85.3553390593273, 85.3553390593273]","[90, 90]","[1.4142135623730951, 1.4142135623730951]",False
2.051406145095825,"[86.7695526217004, 86.7695526217004]","[90, 90]","[1.414213562373095, 1.414213562373095]",False
2.1032071113586426,"[86.7695526217004, 86.7695526217004]","[90, 90]","[3.2304473782996013, 3.2304473782996013]",False
2.1544229984283447,"[87.24395133767618, 88.7124746114572]","[90, 100]","[0.4743987159757836, 1.942921989756801]",False
2.206732988357544,"[87.71835005365196, 90.655396601214]","[90, 100]","[0.474398715975784, 1.9429219897568013]",False
2.2592010498046875,"[88.19274876962774, 92.59831859097079]","[90, 100]","[0.4743987159757845, 1.9429219897568013]",False
2.3103580474853516,"[88.66714748560352, 94.54124058072759]","[90, 100]","[0.4743987159757851, 1.942921989756801]",False
2.361234188079834,"[89.1415462015793, 96.48416257048439]","[90, 100]","[0.47439871597578626, 1.9429219897568004]",False
2.4123661518096924,"[89.1415462015793, 96.48416257048439]","[90, 100]","[0.8584537984206975, 3.5158374295156136]",False
2.464372158050537,"[89.2683200659394, 98.4801406232984]","[90, 110]","[0.126773864360097, 1.99597805281401]",False
2.5166661739349365,"[89.3950939302995, 100.4761186761124]","[90, 110]","[0.12677386436009588, 1.9959780528140103]",False
2.5683979988098145,"[89.5218677946596, 102.47209672892642]","[90, 110]","[0.12677386436009724, 1.9959780528140103]",False
2.621941089630127,"[89.64864165901969, 104.46807478174043]","[90, 110]","[0.12677386436009558, 1.9959780528140103]",False
2.6759111881256104,"[89.77541552337979, 106.46405283455444]","[90, 110]","[0.12677386436009783, 1.99597805281401]",False
2.728553295135498,"[89.77541552337979, 106.46405283455444]","[90, 110]","[0.2245844766202083, 3.535947165445563]",False
2.7795300483703613,"[89.80859437195457, 108.46377760661865]","[90, 120]","[0.033178848574777396, 1.9997247720642088]",False
2.8312361240386963,"[89.84177322052935, 110.46350237868286]","[90, 120]","[0.03317884857477731, 1.9997247720642088]",False
2.8832712173461914,"[89.87495206910413, 112.46322715074707]","[90, 120]","[0.0331788485747772, 1.9997247720642088]",False
2.934399127960205,"[89.9081309176789, 114.46295192281129]","[90, 120]","[0.03317884857477702, 1.9997247720642088]",False
2.985496997833252,"[89.94130976625368, 116.4626766948755]","[90, 120]","[0.033178848574776716, 1.999724772064209]",False
3.0398941040039062,"[89.94130976625368, 116.4626766948755]","[90, 120]","[0.058690233746318654, 3.5373233051245023]",False
3.0913519859313965,"[89.94998056192867, 118.46265789911277]","[90, 130]","[0.008670795674983677, 1.9999812042372709]",False
3.1424171924591064,"[89.95865135760366, 120.46263910335004]","[90, 130]","[0.008670795674982992, 1.9999812042372702]",False
3.193398952484131,"[89.96732215327864, 122.46262030758731]","[90, 130]","[0.008670795674982024, 1.9999812042372709]",False
3.246019124984741,"[89.97599294895363, 124.46260151182459]","[90, 130]","[0.008670795674980537, 1.9999812042372704]",False
3.297551155090332,"[89.9846637446286, 126.46258271606186]","[90, 130]","[0.008670795674977978, 1.9999812042372704]",False
3.348398208618164,"[89.9846637446286, 126.46258271606186]","[90, 130]","[0.015336255371394714, 3.53741728393814]",False
3.3997411727905273,"[91.17416920595537, 128.07040010540487]","[100, 140]","[1.1895054613267633, 1.60781738934302]",False
3.4512150287628174,"[92.36367466728213, 129.67821749474788]","[100, 140]","[1.1895054613267628, 1.6078173893430205]",False
3.5041892528533936,"[93.55318012860889, 131.2860348840909]","[100, 140]","[1.1895054613267624, 1.6078173893430205]",False
3.5555529594421387,"[94.74268558993565, 132.8938522734339]","[100, 140]","[1.1895054613267617, 1.6078173893430208]",False
3.6065011024475098,"[95.93219105126241, 134.50166966277692]","[100, 140]","[1.1895054613267613, 1.6078173893430217]",False
3.6582419872283936,"[97.12169651258917, 136.10948705211993]","[100, 140]","[1.18950546132676, 1.6078173893430225]",False
