timestamp,particle_position,user_goal,velocity,collision,key_pressed
0.05417490005493164,"[49.999864450337334, 49.99961837629419]","[50.0, 50.0]","[0.0, 0.0]",False,
0.15611982345581055,"[49.99972891406284, 49.99923679028116]","[49.999864450337334, 49.99961837629419]","[0.0, 0.0]",False,
0.2837648391723633,"[50.249593391173484, 49.99885524195236]","[50.24972891406284, 49.99923679028116]","[5.0, 0.0]",False,RIGHT
0.38553500175476074,"[50.74945655518234, 50.248465367717024]","[50.749593391173484, 50.24885524195236]","[10.0, 5.0]",False,DOWN
0.5013668537139893,"[51.49930807629469, 50.74803373169402]","[51.49945655518234, 50.748465367717024]","[15.0, 10.0]",False,DOWN
0.6043379306793213,"[52.49913392161393, 51.49751249124265]","[52.49930807629469, 51.49803373169402]","[20.0, 15.0]",False,DOWN
0.7064230442047119,"[53.74891027594458, 52.49681609275652]","[53.74913392161393, 52.49751249124265]","[25.0, 20.0]",False,DOWN
0.8076298236846924,"[55.24858816822432, 53.74575926736467]","[55.24891027594458, 53.74681609275652]","[30.0, 25.0]",False,DOWN
0.9094748497009277,"[56.99804332623937, 55.24384510831186]","[56.99858816822432, 55.24575926736467]","[35.0, 30.0]",False,DOWN
1.0118389129638672,"[58.99684939749356, 56.989255776582674]","[58.99804332623937, 56.99384510831186]","[40.0, 35.0]",False,DOWN
1.1218998432159424,"[61.242442947271655, 58.970148097392915]","[61.24684939749356, 58.989255776582674]","[45.0, 40.0]",False,DOWN
1.2239396572113037,"[63.64733175378, 60.73253794517511]","[63.742442947271655, 61.220148097392915]","[50.0, 45.0]",True,DOWN
1.3273577690124512,"[58.64733175378, 55.73253794517511]","[66.39733175378001, 63.23253794517511]","[55.0, 50.0]",False,DOWN
1.4294788837432861,"[61.64557961663756, 58.474976715187346]","[61.64733175378, 58.48253794517511]","[60.0, 55.0]",False,DOWN
1.5309367179870605,"[64.85702272184496, 61.26680816204585]","[64.89557961663756, 61.474976715187346]","[65.0, 60.0]",True,DOWN
1.633819818496704,"[59.857022721844956, 56.26680816204585]","[68.35702272184496, 64.51680816204585]","[70.0, 65.0]",False,DOWN
1.7358689308166504,"[63.60431587951862, 59.753994276013074]","[63.607022721844956, 59.76680816204585]","[75.0, 70.0]",False,DOWN
1.8370418548583984,"[58.60431587951862, 54.753994276013074]","[67.60431587951862, 63.253994276013074]","[80.0, 70.0]",False,RIGHT
1.9377357959747314,"[62.85331103048589, 58.249593927406266]","[62.85431587951862, 58.253994276013074]","[85.0, 70.0]",False,RIGHT
2.0387120246887207,"[62.820682355686614, 58.04659637992324]","[62.85331103048589, 58.249593927406266]","[0.0, 0.0]",False,
2.1410207748413086,"[63.04763260601871, 57.90319360057447]","[63.070682355686614, 58.04659637992324]","[5.0, 0.0]",False,RIGHT
2.2424848079681396,"[63.528666142950705, 57.78151094841828]","[63.54763260601871, 57.90319360057447]","[10.0, 0.0]",False,RIGHT
2.349323034286499,"[64.2621010139939, 57.91817467493868]","[64.2786661429507, 58.03151094841828]","[15.0, 5.0]",False,DOWN
2.449950933456421,"[65.24033331918024, 58.253602110448995]","[65.2621010139939, 58.41817467493868]","[20.0, 10.0]",False,DOWN
2.551835775375366,"[66.44553813059561, 58.61054533586625]","[66.49033331918024, 59.003602110448995]","[25.0, 15.0]",False,DOWN
2.6533708572387695,"[67.81287713610195, 58.15246167046925]","[67.94553813059561, 59.61054533586625]","[30.0, 20.0]",False,DOWN
2.7548537254333496,"[69.52924829059229, 58.87223807175062]","[69.56287713610195, 59.40246167046925]","[35.0, 25.0]",False,DOWN
2.8572919368743896,"[71.15075533876406, 53.87223807175062]","[71.52924829059229, 60.37223807175062]","[40.0, 30.0]",False,DOWN
2.9599030017852783,"[73.40076562067225, 55.61625471824682]","[73.40075533876406, 55.62223807175062]","[45.0, 35.0]",False,DOWN
3.061541795730591,"[75.90158601613577, 57.59748253669707]","[75.90076562067225, 57.61625471824682]","[50.0, 40.0]",False,DOWN
3.163611888885498,"[78.66475838770435, 59.70700244593558]","[78.65158601613577, 59.84748253669707]","[55.0, 45.0]",False,DOWN
3.268188953399658,"[83.66475838770435, 54.70700244593558]","[81.66475838770435, 62.20700244593558]","[60.0, 50.0]",False,DOWN
3.370351791381836,"[86.91573305448259, 57.452784115174545]","[86.91475838770435, 57.45700244593558]","[65.0, 55.0]",False,DOWN
3.4728338718414307,"[90.41951950724122, 60.44041107341584]","[90.41573305448259, 60.452784115174545]","[70.0, 60.0]",False,DOWN
3.5855307579040527,"[94.19150150419425, 63.63496909726711]","[94.16951950724122, 63.69041107341584]","[75.0, 65.0]",False,DOWN
3.687605857849121,"[98.46830571715064, 66.588868817608]","[98.19150150419425, 67.13496909726712]","[80.0, 70.0]",False,DOWN
3.7903618812561035,"[103.46830571715064, 68.22636407363684]","[102.71830571715064, 70.338868817608]","[85.0, 75.0]",False,DOWN
3.893021821975708,"[108.01766448978731, 72.1638477402781]","[107.96830571715064, 72.22636407363684]","[90.0, 80.0]",False,DOWN
4.006014823913574,"[112.81870294167452, 76.3625973795612]","[112.76766448978731, 76.4138477402781]","[95.0, 85.0]",False,DOWN
4.107493877410889,"[117.81870294167452, 80.8438864018226]","[117.81870294167452, 80.8625973795612]","[100.0, 90.0]",False,DOWN
4.210471868515015,"[122.81870294167452, 85.58920887186959]","[122.81870294167452, 85.5938864018226]","[100.0, 95.0]",False,DOWN
4.311560869216919,"[127.81870294167452, 90.58804347921169]","[127.81870294167452, 90.58920887186959]","[100.0, 100.0]",False,DOWN
4.413042783737183,"[132.81870294167453, 95.58774015910033]","[132.81870294167453, 95.58804347921169]","[100.0, 100.0]",False,DOWN
4.515588760375977,"[137.81870294167453, 100.5876598276016]","[137.81870294167453, 100.58774015910033]","[100.0, 100.0]",False,DOWN
4.619509935379028,"[142.81870294167453, 105.58763946508775]","[142.81870294167453, 105.5876598276016]","[100.0, 100.0]",False,DOWN
4.722285747528076,"[147.81870294167453, 110.58763578858573]","[147.81870294167453, 110.58763946508775]","[100.0, 100.0]",False,DOWN
4.823713064193726,"[152.81870294167453, 115.58763578858573]","[152.81870294167453, 115.58763578858573]","[100.0, 100.0]",False,DOWN
4.933389663696289,"[157.81870294167453, 120.58763578858573]","[157.81870294167453, 120.58763578858573]","[100.0, 100.0]",False,DOWN
5.036131858825684,"[162.81870294167453, 125.58763578858573]","[162.81870294167453, 125.58763578858573]","[100.0, 100.0]",False,DOWN
5.1369757652282715,"[167.81870294167453, 130.58763578858571]","[167.81870294167453, 130.58763578858571]","[100.0, 100.0]",False,DOWN
5.238194942474365,"[172.81870294167453, 135.5876351988923]","[172.81870294167453, 135.58763578858571]","[100.0, 100.0]",False,DOWN
5.341130971908569,"[177.81870293194743, 140.58763275795997]","[177.81870294167453, 140.5876351988923]","[100.0, 100.0]",False,DOWN
5.445069789886475,"[182.818702534277, 145.58762743550344]","[182.81870293194743, 145.58763275795997]","[100.0, 100.0]",False,DOWN
5.546840667724609,"[187.818702534277, 150.5876176264095]","[187.818702534277, 150.58762743550344]","[100.0, 100.0]",False,DOWN
5.648777008056641,"[192.818702534277, 155.58760092281616]","[192.818702534277, 155.5876176264095]","[100.0, 100.0]",False,DOWN
5.749530792236328,"[197.818702534277, 160.5875738993894]","[197.818702534277, 160.58760092281616]","[100.0, 100.0]",False,DOWN
