timestamp,particle_position,user_goal,velocity,collision,key_pressed
0.06607413291931152,"[50.249977401668666, 50.00001299154971]","[50.25, 50.0]","[5.0, 0.0]",False,RIGHT
0.1687302589416504,"[50.74995429122745, 50.0000263722545]","[50.749977401668666, 50.00001299154971]","[10.0, 0.0]",False,RIGHT
0.28069615364074707,"[51.49993011371034, 50.25004056917913]","[51.49995429122745, 50.2500263722545]","[15.0, 5.0]",False,DOWN
0.38279223442077637,"[52.499904680589545, 50.75005583788256]","[52.49993011371034, 50.75004056917913]","[20.0, 10.0]",False,DOWN
0.4846053123474121,"[53.74987780381785, 51.50007247029]","[53.749904680589545, 51.50005583788256]","[25.0, 15.0]",False,DOWN
0.5858292579650879,"[55.249849316876784, 52.50009079064597]","[55.24987780381785, 52.50007247029]","[30.0, 20.0]",False,DOWN
0.6864619255065918,"[56.99981910643869, 53.75011114228593]","[56.999849316876784, 53.75009079064597]","[35.0, 25.0]",False,DOWN
0.7881579399108887,"[58.99978715744172, 55.25013385817597]","[58.99981910643869, 55.25011114228593]","[40.0, 30.0]",False,DOWN
0.8896510601043701,"[61.24975361176551, 57.00015920628657]","[61.24978715744172, 57.00013385817597]","[45.0, 35.0]",False,DOWN
0.99294114112854,"[63.74971883427173, 59.00018730123222]","[63.74975361176551, 59.00015920628657]","[50.0, 40.0]",False,DOWN
1.0952551364898682,"[66.49968346847935, 61.25021797977119]","[66.49971883427173, 61.25018730123222]","[55.0, 45.0]",False,DOWN
1.197277307510376,"[69.49964844917262, 63.75025065379664]","[69.49968346847935, 63.75021797977119]","[60.0, 50.0]",False,DOWN
1.3041431903839111,"[72.7496149286435, 66.50028418052575]","[72.74964844917262, 66.50025065379664]","[65.0, 55.0]",False,DOWN
1.415635347366333,"[76.24958408123072, 69.50031681408234]","[76.2496149286435, 69.50028418052575]","[70.0, 60.0]",False,DOWN
1.517106294631958,"[79.9995567861083, 72.75034629839908]","[79.99958408123072, 72.75031681408234]","[75.0, 65.0]",False,DOWN
1.619866132736206,"[83.99953322766444, 76.25037010113594]","[83.9995567861083, 76.25034629839908]","[80.0, 70.0]",False,DOWN
1.7220323085784912,"[88.24951241531808, 80.00038567954518]","[88.24953322766444, 80.00037010113594]","[85.0, 75.0]",False,DOWN
1.8280823230743408,"[92.74949134815161, 84.00039055861829]","[92.74951241531808, 84.00038567954518]","[90.0, 80.0]",False,DOWN
1.9370203018188477,"[97.49946258412538, 88.25038186656276]","[97.49949134815161, 88.25039055861829]","[95.0, 85.0]",False,DOWN
2.0465941429138184,"[102.49940501896097, 92.75035434934954]","[102.49946258412538, 92.75038186656276]","[100.0, 90.0]",False,DOWN
2.1485843658447266,"[107.49923877326795, 97.50029181516042]","[107.49940501896097, 97.50035434934954]","[100.0, 95.0]",False,DOWN
2.2506561279296875,"[112.49851594747992, 102.50012024294446]","[112.49923877326795, 102.50029181516042]","[100.0, 100.0]",False,DOWN
2.352764129638672,"[117.49013407807564, 107.49902650891107]","[117.49851594747992, 107.50012024294446]","[100.0, 100.0]",True,DOWN
2.457935094833374,"[112.49013407807564, 102.49902650891107]","[122.49013407807564, 112.49902650891107]","[100.0, 100.0]",False,DOWN
2.5591771602630615,"[117.48179700495022, 107.49793843141501]","[117.49013407807564, 107.49902650891107]","[100.0, 100.0]",True,DOWN
2.6628780364990234,"[112.48179700495022, 102.49793843141501]","[122.48179700495022, 112.49793843141501]","[100.0, 100.0]",False,DOWN
2.7640631198883057,"[117.4735041765288, 107.49685594062811]","[117.48179700495022, 107.49793843141501]","[100.0, 100.0]",True,DOWN
2.8693580627441406,"[112.4735041765288, 102.49685594062811]","[122.4735041765288, 112.49685594062811]","[100.0, 100.0]",False,DOWN
2.973112106323242,"[117.46525505183631, 107.49577896806493]","[117.4735041765288, 107.49685594062811]","[100.0, 100.0]",True,DOWN
