delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,key_pressed,success
0.01,0.0,0.00019621849060058594,"[50.0, 49.95]","[50.0, 49.95]","[0.0, -5.0]",False,UP,True
0.01,0.01,0.05083632469177246,"[50.0, 49.85]","[50.0, 49.85]","[0.0, -10.0]",False,UP,True
0.01,0.02,0.10122799873352051,"[50.0, 49.7]","[50.0, 49.7]","[0.0, -15.0]",False,UP,True
0.01,0.03,0.15178418159484863,"[50.0, 49.5]","[50.0, 49.5]","[0.0, -20.0]",False,UP,True
0.01,0.04,0.20232510566711426,"[50.0, 49.25]","[50.0, 49.25]","[0.0, -25.0]",False,UP,True
0.01,0.05,0.2537362575531006,"[50.0, 49.25]","[50.0, 49.25]","[0.0, -0.0]",False,,True
0.01,0.060000000000000005,0.3042769432067871,"[50.0, 49.25]","[50.0, 49.25]","[0.0, -0.0]",False,,True
0.01,0.07,0.3542482852935791,"[50.0, 49.25]","[50.0, 49.25]","[0.0, -0.0]",False,,True
0.01,0.08,0.40427708625793457,"[50.0, 49.25]","[50.0, 49.25]","[0.0, -0.0]",False,,True
0.01,0.09,0.45427823066711426,"[50.0, 49.25]","[50.0, 49.25]","[0.0, -0.0]",False,,True
0.01,0.09999999999999999,0.5048551559448242,"[50.05, 49.25]","[50.05, 49.25]","[5.0, -0.0]",False,RIGHT,True
0.01,0.10999999999999999,0.555321216583252,"[50.15, 49.25]","[50.15, 49.25]","[10.0, -0.0]",False,RIGHT,True
0.01,0.11999999999999998,0.605809211730957,"[50.3, 49.3]","[50.3, 49.3]","[15.0, 5.0]",False,DOWN,True
0.01,0.12999999999999998,0.6562871932983398,"[50.5, 49.4]","[50.5, 49.4]","[20.0, 10.0]",False,DOWN,True
0.01,0.13999999999999999,0.7064731121063232,"[50.75, 49.55]","[50.75, 49.55]","[25.0, 15.0]",False,DOWN,True
0.01,0.15,0.7572991847991943,"[51.05, 49.75]","[51.05, 49.75]","[30.0, 20.0]",False,DOWN,True
0.01,0.16,0.8074371814727783,"[51.4, 50.0]","[51.4, 50.0]","[35.0, 25.0]",False,DOWN,True
0.01,0.17,0.8587629795074463,"[51.8, 50.3]","[51.8, 50.3]","[40.0, 30.0]",False,DOWN,True
0.01,0.18000000000000002,0.9103772640228271,"[52.25, 50.65]","[52.25, 50.65]","[45.0, 35.0]",False,DOWN,True
0.01,0.19000000000000003,0.9625692367553711,"[52.75, 51.05]","[52.75, 51.05]","[50.0, 40.0]",False,DOWN,True
0.01,0.20000000000000004,1.013733148574829,"[53.3, 51.5]","[53.3, 51.5]","[55.0, 45.0]",False,DOWN,True
0.01,0.21000000000000005,1.066061019897461,"[53.9, 52.0]","[53.9, 52.0]","[60.0, 50.0]",False,DOWN,True
